gold_label,sentence1,sentence2
neutral,"On weekends you can join the locals in the Parque de Palapas, where the strains of rock, salsa, and folk music can blend together into a bewildering cacophony.",The Parque de Palapas is where people have barbecues all the time.
neutral,Culebra was known as the Spanish Virgin Island until the American takeover it lies halfway between Puerto Rico and St. Thomas in the US Virgin Islands.,Culebra is somewhere between Puerto Rico and St. Thomas in the US Virgin Islands.
neutral,"I was puzzled by Rebecca Christian's mention in  Blessed Be the Words That Bind' [XVI,3] of  Vikki Carr's song, `Is That All There Is?",Rebecca explained that I did not understand the words because I was an ignorant buffoon.
neutral,The French findings were basically  Eighteen million prescriptions were filled for fen-phen in the United States last year.,Millions of people took a diet drug that made them lost 20 pounds each.
neutral,"For example, employees could be required to use the agencydesignated charge card for hotel and certain other costs.",Employees needed to charge all their food to the card.
neutral,"But... but... aboard this ship...?  The officer made a gesture of helplessness, and, surrendering to his bewilderment, fell abruptly silent.",The officer was shocked senseless by the vomiting onto the deck.
neutral,"For this fiscal year and next, the law school is required to absorb reductions in its state appropriation and increased health costs totaling more than $400,000.",The law school was the first program to face budget cuts.
neutral,um well i sort of own a computer we have two PCs at home but neither one do we really own um both are no both of them are sort of work related and,I have an Apple and an HP computer at home.
neutral,"The sound, some 3 km (2 miles) in diameter, is thought to be a huge caldera that formed after a powerful volcanic eruption.","The 2 mile sound could have been caused by many things, including a volcanic eruption."
neutral,Ha!  Wolverstone vented an ejaculation of sneering mirth.,Wolverstone thought that was funny.
neutral,"12HEI sponsored the multi-city the National Morbidity, Mortality, and Air Pollution Study (NMMAPS).",12HEI is related directly to air pollution.
neutral,well i have a VCR and i've had to return it a couple of times because of the same part failure and uh it's still not getting a real good picture,The VCR only works for about a week and then it is broken again.
neutral,"Pitt, who watched the scene from the quarter-deck rail, tells us that his lordship was as grave as a parson at a hanging.",Pitt had never seen his lordship as grave as he was then.
neutral,"But his time was consumed with getting new officials in place and working on the foundation documents of a new defense policy, the quadrennial defense review, the defense planning guidance, and the existing contingency plans.",The final defense policy document was over five hundred pages long.
neutral,So he stayed in Augusta after that?,Did he stay in Augusta after the riot?
neutral,We didn't know what a U2 was and nobody knew anything about a U2.,We didn't know what to call the thing we saw in the air.
neutral,"As a result, neither the U.S. nor the Saudi people appreciated all the dimensions of the bilateral relationship, including the Saudi role in U.S. strategies to promote the Middle East peace process.",The Saudis invited the US envoy to come work on the middle east peace project.
neutral,yeah because it's uh it had definitely been through the mill but uh,I wish that this did not have to happen since it was so discouraging.
neutral,"That's kind of unique in that I, uh, spent, uh, about 16 years of my career in Special Activities.",My favorite job was in Special Activities.
neutral,yeah they had a whole bunch of things that that sort of broke at the same time,Some of the broken stuff was valuable.
neutral,"A renowned proponent of Mexican Spanish folklore in the Southwest and California was Charles F. Lummis (1859-1928), a self-taught photographer, ethnologist, musicologist, journalist, and the founder of the Southwest Museum in Los Angeles.",Charles F. Lummis was funny.
neutral,"As a result, his salary was raised and his other allowances stipend increased significantly, from approximately $465 to $3,925 a month, remaining at that level until December 2000.",He needed more money in order to travel.
neutral,"About him in the waist, where all last night had been so peaceful, there was a frenziedly active bustle of some threescore men.",This evening was busier than usual because of an event being hosted.
neutral,"As with all gifts to the Institute, 100% of your contribution will be used directly for research.",Every penny goes towards cancer research.
neutral,The rugged mountains of the Serra de Tramuntana sweep down to the sea so steeply here that there are few points of access and only one harbor and port of any size along the coast.,The mountains constantly have landslides for the harbors aren't easily built there.
neutral,"The First Wives Club, a revenge-comedy about three abandoned wives, grossed more on its first weekend than any other women's film in history.","The stars and the acting, more than the plot line of First Wives Club, helped to set record box office sales."
neutral,"Anyway it got up to, we had about uh, ah, I don't remember the numbers.",I don't remember how many workers we had.
neutral,The best thing that may be said of Podhoretz and Decter is that their biological clocks can't have many more minutes left on them.,Decter is 85 years old.
neutral,"Thus, it is possible to pick out the necessary morsels of information in noisy surroundings, if facial expressions, gestures and other contextual clues are taken into account.",You can understand what is being communicated by facial expressions and hand gestures even when you can't hear what is being said.
neutral,"Mayor Giuliani, along with the Police and Fire commissioners and the OEM director, moved quickly north and established an emergency operations command post at the Police Academy.",More than two dozen people were eventually involved in manning the command post.
neutral,"There the scene is less relaxed and the language problem might daunt you, but at least you'll be able to catch a glimpse of Chinese consumer society.",It is a good idea to have a translator with you.
neutral,"The Islamist movement, born about 1940, is a product of the modern world, influenced by Marxist-Leninist concepts about revolutionary organization.",The Islamist movement was originally founded as an organization for social mobilization.
neutral,"According to Binalshibh, had Bin Ladin and KSM learned prior to 9/11 that Moussaoui had been detained, they might have canceled the operation.",Bin Ladin didn't know the FBI had held Moussaoui.
neutral,Most important is the fact that attending a performance at the IRT is not just a field trip.,"In order to fully enjoy a performance at the IRT, you need to pay very hard attention and study the performance and its history beforehand."
neutral,C-R functions may also be estimated with or without explicit thresholds.,C-R functions can be estimated a couple different ways and then published for the reader to decide.
neutral,"It would get really big, take us from our beds and never bring us back home  (November 1974).",It was scary when it got really big.
neutral,"Ah, now, can't ye, indeed?  he cried.",He asked because he was rather shocked about the whole situation.
neutral,Pundits often say history is written by the winners.,Pundits say people who win the lottery tell history.
neutral,"John Burke (Alabama) reviews and analyzes other contemporary accounts and finds that Boswell's is not only the most accurate but that he uses it to demonstrate Johnson's character, whereas others were merely retailing literary gossip.",John Burke dislikes Boswell.
neutral,"Intelligence report, interrogation of detainee, Dec. 2, 2001.","The intelligence report was written up on December 3, 2001."
neutral,"Special coupons are handed out aggressively on the beaches during the day, in hopes of luring the biggest crowd that night.","Coupons are given out on the beach, hoping for long term customers."
neutral,"The Indianapolis Civic Theatre has entertained her audiences with professionally-produced plays and musicals for 82 years while providing an arena for our city's exceptional talent, but that is certainly not the extent of it.",The Indy Civic Theater has done 120 shows in 80 years.
neutral,"For example, in GGD, a design study was done as a separate job, culminating",The design study was not successful.
neutral,The same is true of the sense of nationhood.,The sense of nationhood depends on how well the economy is run.
neutral,"Thus, one has a romantic poem written in Latin in which the first line contains the words for man and woman on opposite ends of the line.",The love story depicted in the Latin poem explains the reason for the distance between the man and the women in the middle of the first sentence.
neutral,"Physiological support differs from life support in that he handles the altitude chambers which run pilots up to 80 thousand feet in high altitude chambers, and brings him back down.",Pilots have to be tested in altitude chambers about 20 times a month.
neutral,"The plan should also identify the acquisition method, key go/no-go points, a formal training plan, and a contingency plan to minimize losses.",The plan should also include a budget.
neutral,"And then I heard him leave, so I'm still finishing what I had to do.",I'm doing the important jobs that I was assigned this morning.
neutral,yeah it's ours up here we have our rural connections are real bad,The connections around here are sometimes okay.
neutral,"By the time he entered his sixties, in 1895, Skeat gave the impression that he was beginning to take these matters a little less",Skeat started to care about different things as he got older.
neutral,Riddles are fun and educational as well.,Riddles are very hard to solve.
neutral,I begin life with an endowment of a hundred pears and a thousand apples.,The fruit was given to me by my father.
neutral,While this is being done prayers are recited.,Prayers are recited while clothes are washed.
neutral,"The English speech is already overburdened with outlandish words that ought never to have been taken in, and ought even now to be turned out.",Experts have identified fifty different words that should not be part of the language.
neutral,"They took Joe with them, and my Granny said, she said it was such a sad time in the house because, you know, everybody was missing Joe and they didn't know what to do.",Joe died and it was really depressing.
neutral,And then once you get everything entered you can go on from there.,You can continue once you enter the information into the database.
neutral,The welfare effects on the mailers who shift are calculated in the same way as in the above section on profits.,They calculate welfare effects quickly on a calculator.
neutral,"He had been a fortnight in Port Royal, his ship virtually a unit now in the Jamaica squadron.",He was doing repairs on his ship.
neutral,His relationship with her remained close throughout his time in the United States.,He had a relationship with an American woman.
neutral,Hard Put to Find Proof Bin Laden Directed Attacks.,Bin Laden was not involved in directing the attacks.
neutral,"I turn, in the final section of this chapter, to yet another puzzle concerning what I call a natural game.",I do not have the solution for the puzzle of the natural game.
neutral,One measure of attachment to ordinary  Does the president carry a wallet?,The president might carry a wallet.
neutral,"Ask your travel agency or the Berlin tourist office for details of upcoming programs, and book in advance where possible.",It's best to book 6 months ahead of your visit.
neutral,"Of course, they questioned me there, why I went.",They asked why I went to the store.
neutral,"So it took me like, an hour to two hours just to find what I needed.",It took me a long time because the book was really thick and confusing.
neutral,A virgin forest is a forest in which the hand of man has never set foot .,"Due to our population, there are few virgin forests still left in the United States."
neutral,Photograph of Bill Clinton on the Slate Table of Contents by Kevin Lamarque/Reuters.,Kevin Lamarque has taken many photos of Bill Clinton including one in the Slate Table of Contents.
neutral,I would be pleased to respond to any questions that the Members of the Subcommittee may have.,I like to talk about my work so I would love to answer questions.
neutral,"Steady, Old Wolf! Steady!  Captain Blood admonished him.","As he is experienced, Captain Blood helped boost morale amongst his crew members."
neutral,TV dinners carry a terrible stigma.,TV dinners always show a family eating some meat dish.
neutral,"Although funding strategies can be improved, funding is available for this work.",There is not enough funding for the work.
neutral,I've got more than a job,I have a job that takes up all of my time.
neutral,"In the center of the square is Joachim Schmettau's granite Weltkugelbrunnen (or Fountain of the World), which locals have gaily christened the  aquatic dumpling.",Weltkugelbrunnen is made of granite that is very black and shiny.
neutral,Current security requirements nurture overclassification and excessive compartmentation of information among agencies.,Security requirements are much stricter than they previously were.
neutral,The New Yorker has fought back with special issues--massive tomes about race or Hollywood or the future.,"The New Yorker has fought back with more than 20 special issues, including whole magazines about racism, space travel, and education."
neutral,The wonderful connections formed each day are made possible through the support of Society operations by organizations like yours!,Without your organization these awesome connections would have never been formed.
neutral,"Miramar, a pleasant residential quarter with fine family homes, benefits from its position alongside the Isla Grande commuter airport.",Miramar is where rich people live.
neutral,The use of technology may reduce the time needed for providers and staff to personally provide screening and intervention services and target patients who can derive benefit from the brief intervention messages.,Technology can reduce how long providers and staff need to screen people by up to 80%.
neutral,"It would be wonderful if you could take the time to visit your School, and see for yourself the progress we have made over the years and share in the pride of our heritage!",You should visit the school and see the musical production we've been working on.
neutral,"The southwestern region with the most researched and documented wedding customs is New Mexico, because the descendents of the early Hispanos have been conscious of describing and writing down their traditions.",The descendants of the early Hispanos wrote using quills.
neutral,"And Granny used to tell the story about how her sister and her sister's husband decided that they were going to move to the city, to Augusta, and pass for white.",Granny's sister wasn't white but she wanted to be so she could go to school.
neutral,I don't care if you don't know anything about it.,I know you aren't obsessed with it.
neutral,"'  It is remarkable that this anomaly still persists, even in many modern sources.","This anomaly could be corrected, but the cost would be significant."
neutral,Your contributions to the Annual Fund at the Maennerchor Society level have provided significant assistance to the school.,The Maennerchor Society got $1m in donations last year.
neutral,A murderer--I?  he said at last.,He hadn't murdered anyone.
neutral,"McCoy invites the support of The __ Company Foundation in the amount of $10,000.","McCoy needs more money, but right now $10,000 is being requested."
neutral,and uh i kind of kind of like the black eyed pea but i don't think it's a chain,I might check out the Black Eyed Pea later.
neutral,"Rational expectations grew, in part, out of an attempt to understand actual trading on stock exchanges.",More and more people started trading on online stock exchanges.
neutral,They didn't want to stay captive.,They had been detained in relation to a recent robbery.
neutral,now that's one of the best deterrents for a robber is a noisy neighbor even if the neighbor's got a noisy dog that's a deterrent because they know that that dog's going to bark,Robbers don't like dogs because they are loud and often bite them.
neutral,Several small temples can be found here.,There are some tiny temples only one person can fit in.
neutral,Many languages have this ambiguity.,This makes learning the language more difficult.
neutral,In San Antonio the performance of Los Pastores at Our Lady of Guadalupe Church as been ongoing since 1913.,There are multiple performances per year.
neutral,"The jagged ridges of Montserrat rise out of the rather featureless Llobregat plain 62 kilometers (38 miles) northwest of Barcelona, in the very heart of Catalonia.",The Mountesserat mountains are the tallest in the area.
neutral,"Specifically, you will be joining a group of distinguished foundation executives, business leaders, scholars, development professionals and volunteers in the nonprofit sector ...",The group is full of Ivy League Scholars and philanthropists.
neutral,The Title V operating permit must also be made available for public comment.,Not everyone ants to allow public comments.
neutral,exactly it's it's an active state it's not something that you can kind of you know be passively involved in and expect to do any good really i don't think,I think you have to devote 10 hours a day to be good at it.
neutral,"And he was a philanderer, an d oh yeah, he was like out there . And, ah, so, you know, I didn't like him, but anyway those are my stories.",I hated him because he was so arrogant.
neutral,"Last year, you generously donated $-.","You donated $10,000 last year."
neutral,but uh so you like different foods huh,You must enjoy trying different ethnic foods.
neutral,We need resources to recruit and develop outstanding teachers.,"We need to hire 100 new, good teachers."
neutral,Other advisers have echoed this concern.,Only one adviser did not voice concern over this plan.
neutral,Yet New York state senators and legislators privately admit they assented to the legislation because they were impressed with the ferocity of the support for the bill.,New York state has the more senators than other states.
neutral,There are also plenty of venues for more  risque  or avant-garde performances.,There are places that have strip tease shows.
neutral,"After looking around these collections, climb the hill to the Commissioner's House, where you will find fine views of the surrounding coastline and the rest of the dockyard complex.",You can see boats at the top of the hill.
neutral,"..,  but the second time the encounter is  he is caught in the middle between two friends.","He does not know which side to pick, between his two friends."
neutral,right they will go through the slot,They are easy to slide through.
neutral,P. S. Your gift is important to our celebration of 85 years making the Indianapolis Civic Theatre the oldest continuously operating community theatre in the country.,"There was another theater that recently celebrated its 84th anniversary, but then it burned down."
neutral,He beheld himself to be as the dog in the fable that had dropped the substance to snatch at a delusive shadow.,The fable is as old as time.
neutral,"So, well I, uh, anyway, uh, uh, this is the three, uh, U2 pilots that, uh, President Kennedy's office in Washington with General May.",General May and the pilots had a great time visiting the office.
neutral,"To put the matter differently, I could write an essay called  The Perils of Literacy  or  A Little Literacy Is a Dangerous Thing.",There could be other titles for a book I could write about the dangers of literacy.
neutral,"Those participating will be provided prospects' names, addresses and telephone numbers, as well as background information on the school's needs.","Participants will have to sign a non-disclosure agreement, before accessing prospects' details."
neutral,That was in Bridgetown on the night of the Spanish raid.,People were killed in the Spanish raid.
neutral,This kind of treatment for big contributors is quite routine.,Big contributors are always given special treatment at these events.
neutral,"She's like, But you need to look here, look here, she's gives me like three different places to look in the computer.",She told me the folders would be on the desktop.
neutral,She pointed to a patch of equally depressing but bushier shrubbery.,She gestured towards a bush that was somewhat depressing.
neutral,This has been true in primary care settings as well.,There were unpaid bills in primary care as well.
neutral,"The people of the United States hoped to enjoy a peace dividend, as U.S. spending on national security was cut following the end of the Soviet military threat.",Defense budgets were cut by more than fifty billion dollars per year.
neutral,"Last Sunday, June 18th, the rain came and severely curtailed attendance at this year's Keepers of the Lore/Joseph Campbell Festival of Myth, Folklore and Story.",It rained 17 inches last Sunday.
neutral,"Prudie wants you to immediately regain your sense of humor and be grateful that your pal stepped in before any, uh, harm was done.",Prudie thinks life is better when you laugh at everything.
neutral,"He stopped short at sight of Captain Blood, and saluted him, as was his due, but the smile that lifted the officer's stiff mostachios was grimly sardonic.",He could see Captain Blood.
neutral,"The main point, though, is that there aren't actually all that many Milosevics in the world.",There are fewer than 1000 Milosevics in the world.
neutral,"19 Assuming four months of work prior to contract award, a total elapsed time of 13 months would have been necessary to retrofit this 675 MWe boiler.",It took 13 months to retrofit the boiler for the submarine.
neutral,"Opposite, in the Cite de la Musique are the Musee de la Musique and a giant concert hall, the Zenith.",The Zenith hosts 1000 concerts a year.
neutral,"However, dramatic increases in the costs of law books, journals, and database services mean that simply maintaining our present collections exceeds our budget.","We need at least $10,000 in donations to allow us to maintain our present collections."
neutral,"For a brief summary of these routines and the reasons why the intercepts were not properly digested, see Graham Allison and Philip Zelikow, Essence of Decision, 2d ed.",The intercepts were sent to the wrong person for analysis.
neutral,The Great Depression hit California hard.,No one in California had jobs.
neutral,"But he was, you know, in a lot of ways, just like a plantation owner's son because he was the son of this guy who owned a lot of property.",His dad owned 2000 acres of farmland.
neutral,"Aye,  said Ogle,  that is true.   But there were some who were still in open and frank revolt against the course.","The course was full of territory that was left unexplored and was, therefore, very dangerous."
neutral,yeah it was pretty reasonable,"Yes, we acknowledge that it was difficult but nonetheless came out pretty well in the end."
neutral,"Between 1936 and 1940 Greece was under the military dictatorship of Ioannis Metaxas, remembered for the resounding echi ( no ) he gave in reply to Mussolini's ultimatum to surrender in 1940.",Greece's economy did not do so well under the military dictatorship of Metaxas.
neutral,"So ye've come,  the Deputy-Governor hailed him, and followed the greeting by a series of grunts of vague but apparently ill-humoured import.",There was some remorse when the Deputy-Governor had waved hello.
neutral,"The dedicated professional staff, headed by Philip Zelikow, has contributed innumerable hours to the completion of this report, setting aside other important endeavors to take on this all-consuming assignment.",There were twenty people on Philip Zelikow's staff.
neutral,It's important that we hear from you during this last fundraising drive of the season.,"We need $100,000 more to make our fundraising quotas this season."
neutral,"And I was like OK, and that was it!","When I said yes, we decided that we would get married that day."
neutral,Population growth is like pollution in reverse.,Pollution is a limiting factor for population growth.
neutral,Practice 4: Manage Risk on a Continuing Basis,This exercise must be completed and turned in by the end of the week.
neutral,"Four of the 9/11 attackers were pulled into secondary border inspection, but then admitted.",They received extra inspections because they wore funny looking hats.
neutral,And who the devil may you be?  he exploded at last.,The person was actually the devil himself.
neutral,"Conversely, if new precedents never sent out ripples, the common law could hardly evolve at all.",The Greeks and Romans had laws that we use today.
neutral,TABLE A.- TOTAL MERCURY ALLOWANCES ALLOCATED OR AUCTIONED FOR EGUS,Mercury can't be above 10 ppm.
neutral,But such acknowledgments do not qualify as dedications in the sense generally understood and in the book at hand in particular.,The acknowledgements are not useful.
neutral,There is no indication that Atta or Shehhi received any additional flight training in June.,Atta and Shehhi received their flight certifications in May.
neutral,"15 The commander wants us to do something, and has used the language of the law to move us toward action.","If it weren't for the law, we would have disobeyed the commander."
neutral,The presence of Bugsy Siegel and Kid Twist in our recent history does not mean we are a tough people.,The presence of these rappers in our history doesn't guarantee we are tough.
neutral,"As for challenges, I am currently looking for a word that can be cut into two successively smaller forms.","I have taken an interest in linguistics, since I took an introductory class last year."
neutral,"LSC-funded attorneys would be required to monitor the movements of their clients, and to withdraw from cases whenever their alien clients leave the United States.",Attorneys get paid by the LSC if they are working in terrorism.
neutral,But Wolverstone would not stop.,The Wolverstone was part of an elaborate ploy.
neutral,"Have a look at Passeig de Gracia to the east, especially the carrers Diputacie, Consell de Cent, Mallorca, and Valancia as far as the Mercat de la Concepcie market.",The market sells lots of fruits and vegetables.
neutral,"And, uh, they moved downtown and, there was, uh, and it's still like this in Augusta, this big street downtown called Broad Street, and it really was just this broad street in a downtown area.",They went to the street with the most restaurants and bars.
neutral,um there's nothing wrong with a parent gifting everything she has to uh to uh to an individual like uh like like you,It's ok for parents to support their kids until they are able to do it on their own.
neutral,"Be sure to see the 1887 a5 coin, which caused consternation among British subjects of the time.",The a5 coin is incredibly rare.
neutral,"As we will see, in both cases, it appears that something profound is going on in the universe that is not finitely prestatable.",The universe is a very confusing place.
neutral,P. S. A tribute donation to the IMA makes a wonderful holiday gift.,Gentle note that you could make donations any time not just around the holidays.
neutral,Go beyond these sights to Nathaniel Hawthorne's House of the Seven Gables.,The Seven Gables is the best sight to see.
neutral,"Diego followed her instructions and at the top of the hill he found beautiful roses of Castile, still covered with dew.",Diego did not really want to follow her instructions.
neutral,"We have already come a long way, and much is left to do.",There are exactly five more tasks that must still be accomplished.
neutral,I hope you will remain a contributor and even consider honoring our 25 years of storytelling by increasing your gift $25 this year.,Your gift last year was $33.
neutral,yeah i think there's so much more economicable too just like with gas and everything i mean i can go forever on a tank of gas,They are also the best looking cars around.
neutral,"If you're looking for an evening alternative to Harvard Square, head to Hispanic-flavored Inman Square, located down Cambridge Street.",Harvard Square is dangerous at night.
neutral,The spirit of liberalism prevalent in Europe was tardy in reaching Spain.,Liberalism came to spain in 1920.
neutral,"Intelligence report, interrogation of KSM, July 30, 2003.",The interrogation revealed that KSM's favorite ice cream flavor was chocolate.
neutral,Even though I don't see how he could have expected me to have it done.,I don't understand why he expected me to finish the drawing today
neutral,"Efficacy trials are the first step, but implementation of proven alcohol screening and brief intervention systems in hospital- and community-based settings has been the most difficult part of the process.",First you'll need to test the efficacy of an intervention.
neutral,"To assist you with your contribution, please feel free to call Kathy Dannels, Director of Development, at 924-6770 ext.",Kathy Dannels answers calls promptly
neutral,Still there is shade and a flower garden in the middle of the square where locals and visitors alike rendezvous for lunch or dinner dates.,People line up to eat in the garden.
neutral,The operators were not given any information about the inability to conduct rooftop rescues and therefore could not advise callers that they had essentially been ruled out.,Helocopters could not be flown near the roofs due to fires in the area.
neutral,"If so, they might be induced to buy this edition because it contains 55 pages of words, definitions, and citations not previously published.",This edition sold more than five hundred thousand copies in its first year.
neutral,The Scotsman reports that Edinburgh University is withholding exam results from 90 computer science students while the administration determines whether or not they used the Internet to cheat.,Some students might have cheated on their finals.
neutral,"England's,  she corrected him in reproof.",She was always tasked with correcting him.
neutral,"As discussed earlier, the reason Jane decided she could not share information was because the initial information on Mihdhar had been analyzed by the NSA.",Jane never wanted to share the information.
neutral,Is there any reason why she didn't tell you?,Why wouldn't she tell you about the baby?
neutral,"-conceive, design and hand-sew the many beautiful costumes, such as Mary Todd's period dresses in Abe Lincoln in Illinois and the ball gowns in A Christmas Carol.",The costumes were only worked on by human hands.
neutral,Linguists have demonstrated that the first lingua france (called Mediterranean Lingua Franca by many linguists) was actually spoken before the first Crusade began in A.D. 1096.,The first Lingua France was spoken in the Mediterranean.
neutral,I believe just the opposite.,"I think you are wrong, that the answer is yes and not no."
neutral,What we see are details.,The details have been printed out on legal paper for everyone to see.
neutral,"Fully professional, fully produced theatre has made a difference to children like Becky, Stephanie, Marcus, Emily, and their classmates from across the state of Indiana.",Our theatre productions have helped elementary school children learn how to paint.
neutral,"Pynchon : As befits a man guarding, as opposed to flaunting, his privacy, Pynchon has kept his private life private.",It is rumored that Pynchon has a son and daughter.
contradiction,The problem of exploitation in apparently voluntary sexual relations has long been with us.,There is no exploitation in sexual relations that are voluntary.
contradiction,I hope your lordship begins at last to perceive the folly of granting the King's commission to such a man as this against all my counsels.,The lordship just took my advice and carried his acts accordingly.
contradiction,"Cynicism dissolves with your first taste of the town's gentle ambience, created by a clever combination of the comforts of sophisticated modernity with the simpler joys of the wilderness at its back door.","The town is an angry, terrible place."
contradiction,"Several Tejano folk heroes, such as Gregorio Cortez, Juan Cortina, and Catarino Garza became memorialized because of their confrontations with the Texas Rangers.",Catarino Garza was a well known Texas Ranger.
contradiction,This is the legal underpinning of Justice Anthony Kennedy's nostalgic embrace of states' rights.,Kennedy favors federal rights.
contradiction,"Actually, the word quark is in the OED as a verb meaning `croak,' with 19th-century references to frogs, rooks, and herons.",The word quark is a modern word first invented by scientists in the 1960s.
contradiction,"During the preschool and elementary school years, thought is largely tied to the here-and-now.",Preschool and elementary aged children often dream about the future.
contradiction,Culebra was known as the Spanish Virgin Island until the American takeover it lies halfway between Puerto Rico and St. Thomas in the US Virgin Islands.,Culebra is located nowhere near Puerto Rico and St. Thomas in the US Virgin Islands.
contradiction,"Cete de Charlevoix is part of the Laurentian heights, reaching to the Saguenay River where the coureurs de bois turned off in search of furs.",The Saguenay River was part of the coal market.
contradiction,"If defense intelligence is reorganized to elevate the responsibilities of the director of the DIA, then that person might be the appropriate official.",The Director of the DIA is not involved with defense intelligence at all.
contradiction,"And so she sat back down, and, you know, they were still chatting, and they could still see this person, and this person was walking really, really fast.",She stayed silent and looked down at her desk.
contradiction,Alternative should not be used in place of alternate.,It is permitted to substitute alternate for alternative.
contradiction,Executives could also receive a rating of provisional or fail for each element.,Executives can't fail.
contradiction,"John Burke (Alabama) reviews and analyzes other contemporary accounts and finds that Boswell's is not only the most accurate but that he uses it to demonstrate Johnson's character, whereas others were merely retailing literary gossip.",John Burke ignores accounts.
contradiction,"It was she now who was on her defence, her voice quivering with indignation.",The woman was so delighted that she was speechless!
contradiction,"For example, in 1983 the Old-Age and Survivors Insurance trust fund borrowed from the Disability Insurance and Hospital Insurance trust funds.",The trust fund has never needed to borrow.
contradiction,"For myself, I am entirely of Wolverstone's opinion.",I have never heard of a person called Wolverstone.
contradiction,you know one other benefit that that just occurred to me i didn't take it as much advantage of it at least not yet in  sometimes big companies will pay for like education,No companies help with education costs no matter how large or small.
contradiction,"The Islamist movement, born about 1940, is a product of the modern world, influenced by Marxist-Leninist concepts about revolutionary organization.",The Islamist movement was begun in the sixth century.
contradiction,Hard Put to Find Proof Bin Laden Directed Attacks.,There was hard evidence of Bin Laden directing the attacks.
contradiction,okay and do they have good lasagna,The lasagna is the worst thing I've tried!
contradiction,"And, uh, if it surged and just kept surging it would go 'whish,' and, like it was going to pull your head off.",It will only surge once.
contradiction,He turned in appeal to Lord Julian.,Lord Julian was nowhere to be seen.
contradiction,"As we all know, there is an enormous number of publications dealing with highly specialized areas.",There are only 2 journals.
contradiction,"Well, there's nobody there to help me.",There are plenty of people to help me there.
contradiction,And then once you get everything entered you can go on from there.,You should stop right now.
contradiction,"In addition, program personnel conduct various workshops for and make educational materials available to new providers.",Program personnel cut all the workshops last year.
contradiction,"If the initial expansion is exponential, then slows to linear, as in the inflationary hypothesis or perhaps in this purely quantum approach, then the particle-horizon problem may disappear.","The particle-horizon problem is always there, regardless of the initial expansion model."
contradiction,In San Antonio the performance of Los Pastores at Our Lady of Guadalupe Church as been ongoing since 1913.,The performance never occurs in San Antonio.
contradiction,That was my messed up.,I did it without any errors.
contradiction,"A little way along from Boot you'll find the terminus of the Ravenglass and Eskdale Railway, or  La'al Ratty,  as it's affectionately known.",Boot is very far from all of the railways.
contradiction,"Relajo can also describe a joking relationship, a bantering back and forth, which through the laughter relieves tension and disintegrates the cause of the tension of the moment.",Relajo is not funny at all.
contradiction,"Fully professional, fully produced theatre has made a difference to children like Becky, Stephanie, Marcus, Emily, and their classmates from across the state of Indiana.","We wish we could afford to create fully professional theatre productions, but we have never had the funds here in Indiana."
