id,sentence1,sentence2,label
16734,"In the , Daniel Dewey ( F ) resigned February 24 , 1814 and was replaced in a special election by John W. Hulbert ( F )","In Daniel Dewey ( F ) resigned February 24 , 1814 , and was replaced by a special election of John W. Hulbert ( F ) .",1
5512,ObjecTime Developer ( or ObjecTime or OTD ) is a software automation tool designed to meet the development needs of short-term software development teams .,"ObjecTime Developer ( or ObjecTime or OTD , for real ) is a software automation tool designed to meet the development needs of short-time software development teams .",1
1512,Manipur is also a tourist hotspot in the state of Ukhrul .,Manipur is also a tourist hotspot of Ukhrul state .,1
40859,"Music is in his blood because he inherited this art from his grandfather , Ustad Banne Khan , who is himself a singer .",Music runs in his blood as he has inherited this art from his grandfather Ustad Banne Khan who is a singer himself .,1
17094,"Balıklı is a village in the District of Gümüşhacıköy , Amasya Province , Turkey .","Balıklı is a village in the district Gümüşhacıköy , Turkey , province of Amasya .",1
4885,"He was created a doctor of the Sorbonne , and afterwards elected prior of St. Edmund 's in 1689 .","He was created a doctor of the Sorbonne , and later elected Prior of St. Edmund in 1689 .",1
6317,"The new year , the spring , the wine and the joyful are also loved .","Also , The new year , the spring , the wine and the joyful are beloved .",1
38138,In the 1970s Suzuki was one of the first buyers of Woolrich fashion in Japan . In 2006 he became a designer for Woolrich Woolen Mills in America .,In the 1970s Suzuki was one of the first buyers of Woolrich Mode in Japan and became Designer for Woolrich Woolen Mills in America in 2006 .,1
15523,"An alternative extension to compact groups is the Peter -- Weyl theorem , which proves results about representations of compact groups analogous to those about finite groups .","An alternative extension to compact groups is the Peter -- Weyl -- Theorem , which shows results about representations of compact groups analogous to those about finite groups .",1
48700,"In order to obtain a biomarker for diagnostics , the sample material must be as easy to use as possible .","In order to obtain a biomarker for diagnostics , the sample material must be as simple as possible to use .",1
8725,Protein FAM40A is a protein that is located on chromosome 1 in humans and is encoded by the `` FAM40A '' gene .,FAM40A is a protein that is chromosome 1 in humans and is encoded by the `` FAM40A '' gene .,1
23582,The screenplay by Robert Carrington and Jane-Howard Carrington is based on the 1966 play by Frederick Knott .,The screenplay by Robert Carrington and Jane - Howard Carrington is based on the 1966 play by Frederick Knott .,1
29849,"For scalar spectral fluctuations , formula _ 9 is referred to as the scalar index , with formula _ 10 corresponding to scale invariant fluctuations .","For scalar spectral fluctuations , Formula 9 is referred to as the scalar index , with the formula 10 corresponding to scalar invariant fluctuations .",1
21573,"Kerwin Moore would see action in 24 games for the Athletics that fall , and was traded to the Florida Marlins after the season in exchange for Abbott .","Kerwin Moore saw action in 24 games for the athletics that fall , and was traded to the Florida - Marlins after the season in exchange for Abbott .",1
36465,"Dorchester is sometimes associated with Avenue D , since Ditmas and Ditmas Avenue and Dorchester Road start with the letter `` D '' .","Dorchester are sometimes associated with Avenue D , since Ditmas and Ditmas Avenue and Dorchester Road start with the letter `` D '' .",1
27861,"The Russian villain is , however , an original and sometimes interesting danger .","The Russian villain , however , is an original and sometimes interesting menace. ``",1
19223,It was believed that true philosophy could be separated from popular wisdom by this method .,It was believed by this method true philosophy could be separated from popular wisdom .,1
46127,"He sang with success also at La Fenice in Naples , at the Maggio Musicale Fiorentino in Florence and at the Teatro San Carlo in Venice .","He also sang with success at La Fenice in Naples , the Maggio Musicale Fiorentino in Florence , and the Teatro San Carlo in Venice .",1
3785,He is a professor of adult education at Åbo Akademi University in Finland ( Vaasa ) .,"He is a Professor of Adult Education at Åbo Akademi University in Vaasa , Finland .",1
6714,It was created with the redistribution in 1972 and replaced the abolished Toowoomba East .,"It was created with the 1972 redistribution , and replaced the abolished Toowoomba East .",1
47971,"`` , Williams turned heel and reformed the British Invasion with Magnus by attacking the team of Eric Young and Orlando Jordan .",Williams turned the heel and reformed the British invasion with Magnus by attacking the Eric Young and Orlando Jordan team .,1
3891,"Shaffer Creek is an tributary of Raystown Branch Juniata River ( Brush Creek ) in Bedford County , Pennsylvania in the United States .","Shaffer Creek is a tributary of the Raystown Branch Juniata River ( Brush Creek ) in Bedford County , Pennsylvania , United States .",1
2661,"He was survived by his wife , former Barbara Crutchley , his sons Norman F. Boas and Donald P. Boas and his daughter , Helen Tuthill Sisson .","He was survived by his wife , the former Barbara Crutchley , his sons Norman F. Boas and Donald P. Boas , and his daughter Helen Tuthill Sisson .",1
32792,"In 1992 , he was elected Croydon North West for the first time after having previously denied the seat unsuccessfully in 1987 .",He was first elected in 1992 for Croydon North West after having previously contested the seat unsuccessfully in 1987 .,1
1941,"Farrer was born in London , the younger brother of Thomas Charles Farrer , an artist .","Farrer was born in London , the younger brother of artist Thomas Charles Farrer .",1
323,He also wrote a large number of vocal arrangements and orchestral accompaniments to varieties .,He also wrote a large number of vocal arrangements and orchestral accompaniments for varieties .,1
42408,"Eileen Chong was born in Singapore in 1980 , moved to Sydney in 2007 .","Eileen Chong was born in 1980 in Singapore . She moved to Sydney , Australia in 2007 .",1
39,"He was born in New York City in East Broadway on October 23 , 1806 .","He was born on 23 October 1806 in New York , East Broadway .",1
45491,"A market was perceived for future tours and destinations , Scandinavia followed in April 1975 and in September followed another tour to Switzerland .",A market was perceived for future tours and destinations . Scandinavia followed in April 1975 and there was another tour to Switzerland in September .,1
17394,Homer Township was established by a division of Albion Township in 1837 .,Homer Township was founded in 1837 by a division of Albion Township .,1
39888,"Inception is a science fiction film from 2010 , co-produced by Emma Thomas and written , co-produced and staged by Christopher Nolan .","Inception is a science fiction film from 2010 , written , co-produced and staged by Christopher Nolan and co-produced by Emma Thomas .",1
39077,"He was likely the son of the painter Girolamo Danti , also from Pesaro , who had married the sister of the painter Giovanni Antonio Pandolfi .","He was probably the son of painter Girolamo Danti , also from Pesaro who married the sister of the painter Giovanni Antonio Pandolfi .",1
34073,"Portsmouth won 4 -- 1 , with goals of Bert Barlow , John Anderson and two from Cliff Parker .","Portsmouth won 4 -- 1 , with goals from Bert Barlow , John Anderson and two by Cliff Parker .",1
31963,"The 8 talukas of this district are Devgad , Kankavli , Malvan , Kudal , Sawantwadi , Vengurla and Dodamarg and Vaibhavwadi .","The 8 Talukas of this area are Devgad , Kankavli , Malvan , Kudal , Sawantwadi , Vengurla and Dodamarg and Vaibhavwadi .",1
9931,Dowa s a district in the Central Region of Malawi . The capital is Dowa .,Dowa is a district in the central region of Malawi with the capital Dowa .,1
6905,The NFL Europe League season 1999 was the fifth season for the franchise in the Rhine Fire ( NFLEL ) .,The 1999 NFL Europe League season was the fifth season for the franchise in the Rhein Fire ( NFLEL ) .,1
42181,Dunne played in Dublin with Stella Maris before playing in England for Everton .,She played with Stella Maris in Dublin before playing for Everton in England .,1
2457,"The 1962 U.S. United States Senate election was held on November 6 , 1962 to select the South Carolina .","The U.S. Senate election of 1962 was held on November 6 , 1962 to select the South Carolina .",1
27816,"In February 2016 , it was announced that Steve Poizner has joined Governor John Kasich of Ohio as National Co Chairman and California State Chairman for Kasich as President .",In February 2016 it was announced that Steve Poizner has joined Governor John Kasich of Ohio as National Co Chairman and California State Chairman for Kasich for President .,1
5136,Mark Williams is played in the TV series by Olaf Petersen .,Mark Williams is played by Olaf Petersen in the television series .,1
17535,"Later in life , Toth became one of Procopio 's close friends .",Later in life Toth became one of close friends of Procopio .,1
33988,"However , Grossman was later injured in the season , and temporarily relieved by Griese .","Grossman was injured later in the season , however , and temporarily relieved of Griese .",1
353,No long or necessary apprenticeship is necessary to learn the demanding techniques .,No long or necessary training is necessary to learn the demanding techniques .,1
26267,"His nephews include actors Nikhil Nanda and Armaan Jain , and businessman Ranbir Kapoor .",His nephews include the actors Nikhil Nanda and Armaan Jain and businessman Ranbir Kapoor .,1
1548,The film was photographed by Rajiv Menon and edited by A. Sreekar Prasad .,The film was photographed by Rajiv Menon and processed by A. Sreekar Prasad .,1
43149,The 2015 -- 16 Rain or Shine Elasto Painters season is the tenth season of the franchise in the Philippine Basketball Association ( PBA ) .,The season 2015 -- 16 rain or gloss Elasto painter is the tenth season of the franchise in the Philippine Basketball Association ( PBA ) .,1
23757,"The Taverniers are visited by Gidea Thompson ( Sian Martin ) , a friend of Jules ' family in Trinidad .","The Taverniers are visited by Sian Martin ( Gidea Thompson ) , a friend of Jules ' and the family in Trinidad .",1
481,"The completed fence is located mainly in Texas , with the construction in New Mexico , Arizona and California .","The completed fence is mainly in Texas , with construction underway in New Mexico , Arizona , and California .",1
39525,"The zone serves eastern and central Madhya Pradesh , the southern Uttar Pradesh and northeastern Rajasthan State .","The zone serves eastern & central Madhya Pradesh , southern Uttar Pradesh , and northeastern Rajasthan state .",1
17760,This is the Zomi traditional dresses . The male dress are `` Puan Laisan '' and the female dress are `` Puandum '',"This is the traditional dress of Zomi , the male dresses are `` Puan Laisan '' and the female clothes are `` Puandum '' .",1
2005,His some Marathi songs from other Films are :,His marathi songs are from other films :,1
23666,"With the weakening of the Canadian dollar , manufacturing sales and exports rose in November and December 2015 , and employment increased .","In November and December 2015 , with the weakening in the Canadian dollar , manufacturing sales and exports increased and employment rose .",1
37857,"Burki started his career in Switzerland for a year , until he returned to Paris to work in rotogravure from 1971 to 1979 .",He started his career in Switzerland for a year until he returned to Paris from 1971 to 1979 to work in gravure .,1
2031,Since 1984 Patricia Dale is married to Patricia Meyer and together they have two sons : Ryan ( born 1988 ) and Blake ( born 1992 ) .,Dale has been married to Patricia Meyer since 1984 and together they have two sons : Ryan ( born 1988 ) and Blake ( born 1992 ) .,1
24552,CTVglobemedia acquired the CFXJ-FM station in Toronto in 2010 from Milestone Radio .,CTVglobemedia acquired Toronto station CFXJ-FM from Milestone Radio in 2010 .,1
42574,"It can be found throughout the central palaearctic region , from Turkey , Cyprus and Lebanon , through Pakistan , Iran , Afghanistan and northern Iraq to Kashmir .","It is found throughout the central Palaearctic Region , from Turkey , Cyprus and Lebanon , east through Pakistan , Iran , Afghanistan and northern Iraq to Kashmir .",1
31097,"She took refuge in London with her family in 1938 , and the family settled in East Finchley in the north of England , where she attended the Tollington Hill School .","With her family she took refuge in London in 1938 , and the family settled in East Finchley , in northern England where she attended Tollington Hill School .",1
29598,"Kirk Deighton is served over the Route 780 , Harrogate to Wetherby , and Route X70 , Kirk Deighton to Knaresborough via Wetherby and Spofforth .","Kirk Deighton is served by route 780 , Harrogate to Wetherby , and route X70 , Kirk Deighton to Knaresborough via Wetherby and Spofforth .",1
27829,Somaiya Vidyavihar is an educational campus in the suburb of Vidyavihar in Mumbai .,Somaiya Vidyavihar is an educational campus located in the Mumbai suburb of Vidyavihar .,1
36848,"Two new , large sports venues opened in 2001 : the Ralph Engelstad Arena and the Alerus Center .","In 2001 , two new large sports facilities were opened : the Ralph Engelstad Arena and the Alerus Center .",1
32824,It was written by Jeff Melman and was directed by Tom Spezialy and Marc Cherry .,It was written by Jeff Melman and was run by Tom Spezialy and Marc Cherry .,1
37801,"An additional study found that the direct promoter is one of many thousand proximal targets of transcription factor , Myc , in vivo .",An additional study found that the direct promoter is one of many thousands of proximal targets of the transcription factor Myc in vivo .,1
4003,"There are numerous student organizations on the campus , including religious groups , academic groups , and student activity groups .","There are numerous student organizations available on campus , including religious groups , academic groups , and student activity groups .",1
31299,"Six hours later , Corey returns but Pierson does not , and Corey claims not to know where Pierson is .","Six hours later , Corey returns , but Pierson does not , and Corey claims not to know where is Pierson .",1
22046,The Late neolithic cultures have affinities with the spread of the Mon Khmer speaking people from Malaysia and the Ayeyarwady valley and late neolithic developments in South China .,Late Neolithic cultures have a relationship with the spread of the Mon Khmer speaking people from Malaysia and the Ayeyarwady Valley and the late Neolithic developments in southern China .,1
25750,"Bonchurch is situated on the southern coast of the Isle of Wight , England just to the east of the village of Monks Bay .","is located on the southern coast of the Isle of Wight , England , to the east of the village of Monks Bay .",1
5124,It stars James Craig and was written by Devon and Richard Devon .,It is playing James Craig stars and was written by Devon and Richard Devon .,1
6883,"Starring Holly Hunter and Tim Robbins , the series focuses on a contemporary multi-racial family in the Portland area .","The series , occupied with Holly Hunter and Tim Robbins , focuses on a contemporary multi-racial family in the Portland area .",1
9122,The teams had to use from a distance a traditional tribal club to beat the pots .,Teams had to use a traditional tribal club from a distance to hit the pots .,1
4313,"Buses run from the bus stop to Baildon , Bradford , Cleckheaton , Dewsbury , Elland , Halifax , Huddersfield , Leeds , Shipley and Wakefield .","Buses run from the bus station to Baildon , Bradford , Cleckheaton , Dewsbury , Leeds , Huddersfield , Elland , Halifax , Shipley and Wakefield .",1
6517,"Soto was born in Fort Worth , but at the age of one year moved to Monterrey in Mexico .","Soto was born in Fort Worth , but moved to Monterrey , Mexico , at the age of one .",1
24694,The River Frasin is a tributary of the River Straja in Romania .,The Frasin River is a tributary of the Straja River in Romania .,1
23126,In Portage township there are two villages : part of Jerry City to the south and part of Portage in the northwest .,"Two villages are located in Portage Township : part of Jerry City in the south , and part of Portage in the northwest .",1
35463,"Another kuji formula is found in the writings of Jodo Shinshu , founded by Shinran , and is yet another mantra to Amida Nyorai which reads","Another Kuji formula can be found in the writings of Jodo Shinshu , founded by Shinran , and is another mantra to Amida Nyorai , which is :",1
43744,"Trained by César Cielo , coach of the American swimmer Bob Bowman , at the University of Michigan , he is a childhood friend of Michael Phelps .","Trained with César Cielo , coach of American swimmer Bob Bowman , at the University of Michigan . He is a childhood friend of Michael Phelps .",1
39326,It was accepted that the aborigine - name of the zone simply `` Güímar '' as was the whole Menceyato .,It was accepted that the aboriginal name of the zone was simply `` Güímar '' as the whole menceyato .,1
47626,"The others were Donald Carr from Repton School and the Etonian , Luke White .",The others were Donald Carr of the Repton School and Etonian Luke White .,1
33732,"Red Sulphur Sky is a solo album by American jazz trumpeter Wadada Leo Smith , which was released in 2001 and recorded at Tzadik Records .",Red Sulphur Sky is a solo album by American jazz trumpeter Wadada Leo Smith which was released in 2001 and recorded on Tzadik Records .,1
15198,"Vaman Malhar Joshi was not to be confused with the writer Waman Gopal Joshi , they were contemporaries .",Vaman Malhar Joshi should not be confused with the writer Waman Gopal Joshi . They were contemporaries .,1
24124,"Olivella kifos is a species of dwarf - sea snail , small gastropod mollusk in the Olivellidae family , the navy olives .","Olivella kifos is a species of dwarf sea snail , small gastropod mollusk in the family Olivellidae , the marine olives .",1
3684,The second fortress was built in stone by Alexander 's son Dmitry Alexandrovich in 1280 .,The second fortification was built in stone in 1280 by Alexander 's son Dmitry Alexandrovich .,1
20254,"After four years it moved to Jacopo Sandri 's house , which had more space , and in 1705 moved again to the palazzo of Conte Luigi Ferdinando Marsigli .","After four years , it moved to Jacopo Sandris House , which had more space , and moved back to the Palazzo of Conte Luigi Ferdinando Marsigli in 1705 .",1
6307,"Of these 18 states , four of them have listed IN , PA , OH and MD `` G. villosa '' as endangered species .","Of these 18 states , four of them have listed IN , MD , OH and PA `` G. villosa '' as endangered species .",1
17259,"Pohl-Stroher was born on 18 January 1919 in Wurzen in Saxony , Vogtland and grew up in Rothenkirchen in East Germany .","Pohl-Stroher was born on 18 January 1919 in Wurzen in Saxony , Vogtland and grew up in Rothenkirchen , East Germany .",1
9906,Clara Louise Bell ( 1886 -- 1978 ) ( known as Clara Louise Janowsky ) was an American miniature painter .,Clara Louise Bell ( 1886 -- 1978 ) ( also known as Clara Louise Janowsky ) was an American miniature painter .,1
4789,It is located in Guntur Mandal of the Mangalagiri Revenue Division .,It is located in Guntur mandal of Mangalagiri revenue division .,1
4501,Navarro is a partido in the northeast of the province of Buenos Aires in Argentina .,Navarro is a partido in the northeast of Buenos Aires Province in Argentina .,1
39805,Shivachevo is a small town in the Sliven Province located on the southern slopes of the Balkan Mountains in central eastern Bulgaria .,"Shivachevo is a small town in the province of Sliven , on the southern slopes of the Balkan Mountains in Central Eastern Bulgaria .",1
25575,"Skapetis had trials at several clubs including Derby County , Cardiff City and Sheffield United late in 2016 .","Late in 2016 , Skapetis had attempts at several clubs , including Derby County , Cardiff City , and Sheffield United .",1
10867,"On May 6 , 2016 it was announced that Palafox signed to New York Cosmos B of the National Premier Soccer League .","On 6 May 2016 , it was announced that Palafox had signed the National Premier Soccer League after New York Cosmos B .",1
32453,This introduction to travel began a lifelong passion that led her to study in the remote areas of Alaska and British Columbia .,This introduction to the journey began with a lifelong passion that led her to study in the remote areas of Alaska and British Columbia .,1
33849,"Under his direction , the choir also gave concert tours in Australia ( 1987 ) , Israel ( 1988 ) and Estonia ( 1989 , 1990 ) .","The choir also gave concert tours in Australia ( 1987 ) , Israel ( 1988 ) , and Estonia ( 1989 , 1990 ) under his leadership .",1
3729,"This book was written by Arthur Laurents , with music by Leonard Bernstein , text by Stephen Sondheim and choreography by Jerome Robbins .","The book was written by Arthur Laurents , with music by Leonard Bernstein , lyrics by Stephen Sondheim , and choreography by Jerome Robbins .",1
27826,"In March 2008 , Sophina participated in the Heart of a Champion Invitational as a Level 10 where she won the all-around title .","In March 2008 , Sophina participated in the heart of a Champion Invitational as Level 10 , where she won the total title .",1
23471,"Eurosta is a species of the Tephritidae family , known in Europe as fruit flies and in North America as wing flies .","Eurosta is a genus of the family Tephritidae , known as fruit flies in Europe and Picture wing flies in North America .",1
9789,"Twin Falls High School is a public secondary school in Twin Falls , Idaho , one of the two traditional high schools operated by the Twin Falls School District .","Twin Falls High School is a public secondary school in Twin Falls , Idaho , one of two traditional high schools operated by the Twin Falls School District .",1
3366,"The crash of Aerosucre Flight 4544 was the second aviation incident involving Aerosucre , the first being the crash of another Boeing 727 on November 18 , 2006 .","The crash of Aerosucre Flight 4544 was the second flight incident involving Aerosucre , the first being the crash of another Boeing 727 on November 18 , 2006 .",1
16531,"This scene was rewritten , although its opening recitative in cut form was present in the first production .","This scene has been rewritten , although its opening recitative was present in cut form in the first production .",1
24249,"The first settlers were Dr. Henry Clay Fish , Richard Dobbs and James G. Christian , all coming from Missouri to Illinois .","The first settlers were Dr. Henry Clay Fish , Richard P. Dobbs and James G. Christian , who all came to Illinois from Missouri .",1
36471,"Following the death of his father , King George , he was elected King on 4th March 1827 in the presence of James Holman .","After the death of his father , King George , he was elected king in the presence of James Holman on 4 March 1827 .",1
18236,"The bay is centred ( British mapping 1968 , Bulgarian mapping in 1993 and detailed Spanish mapping in 2005 and 2009 ) .","The bay is centred at ( British mapping in 1968 , Bulgarian mapping in 1993 , and detailed Spanish mapping in 2005 and 2009 ) .",1
213,"Alycia Moulton defeated Billie Jean King at 6 -- 0 , 7 -- 5 .","Alycia Moulton defeated Billie Jean King 6 -- 0 , 7 -- 5 .",1
47702,This was a limited release -- only 300 red vinyl and 200 black vinyl copies were put out .,This was a limited release -- only 300 red vinyl and 200 black vinyl copies were issued .,1
4760,John Ikin ( born 1957 in Lower Hutt ) is a furniture designer from New Zealand .,Humphrey John Ikin ( born 1957 in Lower Hutt ) is a New Zealand furniture designer .,1
4778,"In addition to artificial insemination by rams , natural insemination and embryo transfers have been used in sheep breeding programs for many years in Australia and New Zealand .","In addition to artificial insemination by rams , natural insemination and embryo transfers in sheep farming programmes have been used for many years in Australia and New Zealand .",1
42437,"The song was originally produced by Johnny J and features Hurt-M-Badd , Big Syke , Mopreme Shakur , Yaki Kadafi & E.D.I..","The song was originally produced by Johnny J and features Hurt-M-Badd , Big Syke , Mopreme Shakur , Yaki Kadafi 's E.D.I .",1
43324,The vesicular monoamine transporter ( VMAT ) is a transport protein integrated into the membrane of synaptic vesicles of presynaptic neurons .,The Vesicular Monoamine Transporter ( VMAT ) is a transport protein that is integrated into the membrane of synaptic vesicles of presynaptic neurons .,1
25628,"In many problems , it is more convenient to work with D and the total charges than with E and the free charge .","In the case of many problems , it is more convenient to work with D and total fees than with E and the free charge .",1
49182,"Of Scotland , His father had been a blacksmith and an inventor , and had worked with iron rope in California .",His father had been a blacksmith and inventor and had worked with an iron rope in California .,1
9433,"The team 's statistical leaders included Kyle Boller , with 1,741 passing yards , Charon Arnold with 688 Rushing Yards , and Terrell Williams with 606 reception - Yards .","The team 's statistical leaders included Kyle Boller with 1,741 passing yards , Charon Arnold with 688 rushing yards and Terrell Williams with 606 receiving yards .",1
10555,"However , Szabo 's method of double-spending protection was vulnerable to Sybil attacks .","Szabo 's method of double protection , however , was vulnerable to Sybil attacks .",1
6719,"Vidyanandana , Shri Suryavarmadeva , or Cham , was a Suryavarman prince in Cambodia , who in 1182 put down a revolt that broke out at Malyang against Jayavarman VII .","Vidyanandana , Shri Suryavarmadeva , or Cham , was a Suryavarman prince in Cambodia , who broke down a revolt in 1182 that erupted in Malyang against Jayavarman VII .",1
34689,"On June 30 , 2016 , Infante agreed to a minor league deal with the Braves . He was released by the Atlanta Braves on August 16 , 2016 .","On 30 June 2016 , Infante agreed to a Minor League Deal with the Braves and was released by the Atlanta Braves on August 16 , 2016 .",1
5644,"Neighboring communities include Libertyville , Mundelein , Round Lake Park , Hainesville , Round Lake Beach , Lindenhurst , Third Lake , Gages Lake and Wildwood .","Neighbouring communities include Libertyville , Mundelein , Round Lake Park , Hainesville , Round Lake Beach , Lindenhurst , Third Lake , Gages Lake and Wildwood .",1
47225,"In 2015 , municipal elections for Serampore Municipality Congress won 22 seats , CPI ( M ) 4 seats , Trinamool - Congress 1 seat and Independent 2 seats .","In the 2015 , municipal elections for Serampore Municipality Congress won 22 seats , CPI ( M ) 4 seats , Trinamool Congress 1 seat and Independents 2 seats .",1
33813,"Unterberger comments on the recording : `` The delicacy of the execution is exquisite , the sensual images are more tangible , the sense of desire and fulfillment explicit .","Unterberger comments on the recording : `` The delicacy of the execution is exquisite , the sensual imagery more tangible , the sense of desire and fulfillment explicit . ''",1
47662,"It was her tenth studio recording since `` I Wan na Love Somebody '' and the first released studio album before stroke on January 10 , 2006 .","It was her tenth studio recording since `` I Wan na Love Somebody '' and the first released studio album before her stroke on January 10 , 2006 .",1
3518,"Imagica and Robot Communications established Imagica Robot Holdings Inc. , on April 1 , 2004 , and Imagica became a part of this company .","On 1 April 2004 , Imagica and Robot Communications co-established Imagica Robot Holdings Inc. , and Imagica became a part of this company .",1
32534,Faiyaz Ali Khan was at Sir Muhammad Faiz Ali Khan in 1851 .,Faiyaz Ali Khan was to Sir Muhammad Faiz Ali Khan in 1851 .,1
3457,"Caroline Smith married John Peter DeWint , granddaughter of John Adams in September 1814 .","In September 11 , 1814 Caroline Smith married John Peter DeWint , granddaughter of John Adams .",1
