id,sentence1,sentence2,label,sentence1_opus,sentence2_opus
45606,"In 1958 he spoke throughout East Asia and in Western Europe , and in 1961 in Northern Ghana .",In 1958 he spoke throughout East Asia and Western Europe and in 1961 in Northern Ghana .,1,"Noong 1958, nagsalita siya sa buong Silangang Asya at sa Kanlurang Europa , at noong 1961 sa Hilagang Ghana .","Noong 1958, nagsalita siya sa buong Silangang Asya at Kanlurang Europa at noong 1961 sa Hilagang Ghana ."
36703,"In addition , the song `` Calling All Angels '' is included in the film by Jane Siberry and is played on the audio track .","In addition , the song `` Calling All Angels '' by Jane Siberry is included in the film and is played on the soundtrack .",1,"Bilang karagdagan , ang kantang ``Televing All Angels '' ay kasama sa pelikula ni Jane Siberry at nilalaro sa audio tracks .","Bilang karagdagan , ang kantang ``Televing All Angels '' ni Jane Siberry ay kasama sa pelikula at nilalaro sa soundtrack ."
5914,"The area was once served by Edinburgh Waverley Railway Station , which provided direct access to the railway to Corstorphine .",The area was once served by Edinburgh Waverley railway station which provided direct railway access to Corstorphine .,1,"Ang lugar ay dating pinaglilingkuran ng Edinburgh Waverley Railway Station , na nagbibigay ng direktang pag-access sa riles patungong Corstorphine .",Ang lugar ay dating pinaglilingkuran ng Edinburgh Waverley railway station na nagbibigay ng direktang daanan ng tren papuntang Corstorphine .
18516,Morris Township is located in the 25th Congressional District and is part of the 11th State Legislative District of New Jersey .,Morris Township is located in the 25th Congressional District and is part of New Jersey 's 11th state legislative district .,1,Ang Morris Township ay matatagpuan sa 25th Congressional District at ito ay bahagi ng 11th State Legislative District ng New Jersey .,Ang Morris Township ay matatagpuan sa 25th Congressional District at ay bahagi ng ika-11 state lehislatura district ng New Jersey .
23134,"He died on 24 August 1878 in Wyandotte ( now part of Kansas City ) , Kansas .","He died in Wyandotte ( now a part of Kansas ) , Kansas City , August 24 , 1878 .",1,"Namatay siya noong 24 Agosto 1878 sa Wyandotte (na bahagi na ngayon ng Kansas City ) , Kansas .","Namatay siya sa Wyandotte (na bahagi na ngayon ng Kansas ) , Kansas City , Agosto 24 , 1878 ."
16734,"In the , Daniel Dewey ( F ) resigned February 24 , 1814 and was replaced in a special election by John W. Hulbert ( F )","In Daniel Dewey ( F ) resigned February 24 , 1814 , and was replaced by a special election of John W. Hulbert ( F ) .",1,"Sa , si Daniel Dewey ( F ) ay nagbitiw sa Pebrero 24 , 1814 at pinalitan sa isang espesyal na halalan ni John W. Hulbert ( F )","Sa Daniel Dewey ( F ) nagbitiw ng Pebrero 24 , 1814 , at pinalitan ng espesyal na halalan ni John W. Hulbert ( F ) ."
5512,ObjecTime Developer ( or ObjecTime or OTD ) is a software automation tool designed to meet the development needs of short-term software development teams .,"ObjecTime Developer ( or ObjecTime or OTD , for real ) is a software automation tool designed to meet the development needs of short-time software development teams .",1,Ang ObjecTime developer ( o ObjecTime o OTD ) ay isang software automation na kasangkapan na dinisenyo upang matugunan ang mga pangangailangan ng mga short-term software development teams .,"Ang ObjecTime developer ( o ObjecTime o OTD , para sa tunay ) ay isang software automation na kasangkapan na dinisenyo upang matugunan ang mga pangangailangan ng mga short-time software development teams ."
1512,Manipur is also a tourist hotspot in the state of Ukhrul .,Manipur is also a tourist hotspot of Ukhrul state .,1,Ang Manipur ay isa ring tourist hotspot sa estado ng Ukhrul .,Ang Manipur ay isa ring tourist hotspot ng estado ng Ukhrul .
40859,"Music is in his blood because he inherited this art from his grandfather , Ustad Banne Khan , who is himself a singer .",Music runs in his blood as he has inherited this art from his grandfather Ustad Banne Khan who is a singer himself .,1,"Ang musika ay nasa kanyang dugo dahil siya ay nagmana ng sining na ito mula sa kanyang lolo , Ustad Banne Khan , na siya mismo ay isang mang-aawit .",Ang musika ay tumatakbo sa kanyang dugo habang siya ay nagmana ng sining na ito mula sa kanyang lolo na si Ustad Banne Khan na isang mang-aawit mismo .
17094,"Balıklı is a village in the District of Gümüşhacıköy , Amasya Province , Turkey .","Balıklı is a village in the district Gümüşhacıköy , Turkey , province of Amasya .",1,"Ang Balıklı ay isang nayon sa Distrito ng Gümüşhacıköy , Lalawigan ng Amasya , Turkey .","Ang Balıklı ay isang nayon sa distrito ng Gümüşhacıköy , Turkey , lalawigan ng Amasya ."
4885,"He was created a doctor of the Sorbonne , and afterwards elected prior of St. Edmund 's in 1689 .","He was created a doctor of the Sorbonne , and later elected Prior of St. Edmund in 1689 .",1,"Siya ay nilikhang doktor ng Sorbonne , at pagkatapos ay nahalal bago ang St. Edmund 's noong 1689 .","Siya ay nilikhang doktor ng Sorbonne , at kalaunan ay nahalal na President of St. Edmund noong 1689 ."
6317,"The new year , the spring , the wine and the joyful are also loved .","Also , The new year , the spring , the wine and the joyful are beloved .",1,"Ang bagong taon , ang tagsibol , ang alak at ang galak ay mahal din .",", Ang bagong taon din , ang tagsibol , ang alak at ang galak ay minamahal ."
38138,In the 1970s Suzuki was one of the first buyers of Woolrich fashion in Japan . In 2006 he became a designer for Woolrich Woolen Mills in America .,In the 1970s Suzuki was one of the first buyers of Woolrich Mode in Japan and became Designer for Woolrich Woolen Mills in America in 2006 .,1,"Noong 1970s Suzuki ay isa sa mga unang mamimili ng istilong Woolrich sa Japan . Noong 2006, siya ay naging designer para sa Woolrich Woolen Mills sa America .",Noong 1970s Suzuki ay isa sa mga unang mamimili ng Woolrich Mode sa Hapon at naging Disenyador para sa Woolrich Woolen Mills sa Amerika noong 2006 .
15523,"An alternative extension to compact groups is the Peter -- Weyl theorem , which proves results about representations of compact groups analogous to those about finite groups .","An alternative extension to compact groups is the Peter -- Weyl -- Theorem , which shows results about representations of compact groups analogous to those about finite groups .",1,"Ang isang alternatibong ekstensiyon sa mga compact group ay ang Peter-Wel theorem , na nagpapatunay ng mga resulta tungkol sa mga representasyon ng mga compact group na analogous sa mga humigit-kumulang na grupo .","Ang isang alternatibong ekstensiyon sa mga compact group ay ang Peter-Wel-Theorem , na nagpapakita ng mga resulta tungkol sa mga representasyon ng mga compact group na analogous sa mga may limitasyong grupo ."
48700,"In order to obtain a biomarker for diagnostics , the sample material must be as easy to use as possible .","In order to obtain a biomarker for diagnostics , the sample material must be as simple as possible to use .",1,"Upang makakuha ng biomarker para sa mga diyagnosis , ang sampol na materyal ay dapat madaling gamitin hangga't maaari .","Upang makakuha ng biomarker para sa diagnostics , ang sampol na materyal ay dapat maging simple hangga't maaari upang magamit ."
8725,Protein FAM40A is a protein that is located on chromosome 1 in humans and is encoded by the `` FAM40A '' gene .,FAM40A is a protein that is chromosome 1 in humans and is encoded by the `` FAM40A '' gene .,1,Ang Protein FAM40A ay isang protina na matatagpuan sa kromosomang 1 sa mga tao at ini-record ng ````A FAM40A '' gene .,Ang FAM40A ay isang protina na kromosomang 1 sa mga tao at ini-record ng ````A FAM40A' gene .
23582,The screenplay by Robert Carrington and Jane-Howard Carrington is based on the 1966 play by Frederick Knott .,The screenplay by Robert Carrington and Jane - Howard Carrington is based on the 1966 play by Frederick Knott .,1,Ang screenplay nina Robert Carrington at Jane-Howard Carrington ay batay sa 1966 dula ni Frederick Knott .,Ang screenplay nina Robert Carrington at Jane - Howard Carrington ay batay sa 1966 dula ni Frederick Knott .
29849,"For scalar spectral fluctuations , formula _ 9 is referred to as the scalar index , with formula _ 10 corresponding to scale invariant fluctuations .","For scalar spectral fluctuations , Formula 9 is referred to as the scalar index , with the formula 10 corresponding to scalar invariant fluctuations .",1,"Para sa scalar spectral reversions , ang pormulang _ 9 ay tinutukoy bilang scalar index , na may pormulang _ 10 na katumbas ng scale invariant reversions .","Para sa scalar spectral reversions , ang Formula 9 ay tinutukoy bilang scalar index , na may pormulang 10 katumbas ng scalar invariant reversions ."
21573,"Kerwin Moore would see action in 24 games for the Athletics that fall , and was traded to the Florida Marlins after the season in exchange for Abbott .","Kerwin Moore saw action in 24 games for the athletics that fall , and was traded to the Florida - Marlins after the season in exchange for Abbott .",1,"Makikita ni Kerwin Moore ang pagkilos sa 24 na laro para sa Athletics na taglagas , at ikinakalakal sa Florida Marlins pagkatapos ng season kapalit ng Abbott .","Si Kerwin Moore ay nakakita ng pagkilos sa 24 na laro para sa atletika na taglagas , at kinakalakal sa Florida - Marlins pagkatapos ng season kapalit ng Abbott ."
36465,"Dorchester is sometimes associated with Avenue D , since Ditmas and Ditmas Avenue and Dorchester Road start with the letter `` D '' .","Dorchester are sometimes associated with Avenue D , since Ditmas and Ditmas Avenue and Dorchester Road start with the letter `` D '' .",1,"Ang Dorchester kung minsan ay nauugnay sa Avenue D , dahil ang Ditmas at Ditmas Avenue at Dorchester Road ay nagsisimula sa titik na ````` D '' .","Ang Dorchester kung minsan ay nauugnay sa Avenue D , dahil ang Ditmas at Ditmas Avenue at Dorchester Road ay nagsisimula sa titik na ````` D '' ."
27861,"The Russian villain is , however , an original and sometimes interesting danger .","The Russian villain , however , is an original and sometimes interesting menace. ``",1,"Gayunman, ang kontrabidang Ruso ay , isang orihinal at kung minsan ay kawili-wiling panganib .","Ang kontrabidang Ruso , gayunpaman , ay isang orihinal at kung minsan ay kawili-wili panganib. `````."
19223,It was believed that true philosophy could be separated from popular wisdom by this method .,It was believed by this method true philosophy could be separated from popular wisdom .,1,Pinaniniwalaang ang tunay na pilosopiya ay maihihiwalay mula sa popular na karunungan sa pamamagitan ng pamamaraang ito .,Ito ay pinaniniwalaan sa pamamaraang ito ang tunay na pilosopiya ay maihihiwalay mula sa popular na karunungan .
46127,"He sang with success also at La Fenice in Naples , at the Maggio Musicale Fiorentino in Florence and at the Teatro San Carlo in Venice .","He also sang with success at La Fenice in Naples , the Maggio Musicale Fiorentino in Florence , and the Teatro San Carlo in Venice .",1,"Naging matagumpay din siya sa La Fenice sa Naples , sa Maggio Musicale Fiorentino sa Florence at sa Teatro San Carlo sa Venice .","Naging matagumpay din siya sa La Fenice sa Naples , ang Maggio Musicale Fiorentino sa Florence , at ang Teatro San Carlo sa Venice ."
3785,He is a professor of adult education at Åbo Akademi University in Finland ( Vaasa ) .,"He is a Professor of Adult Education at Åbo Akademi University in Vaasa , Finland .",1,Siya ay isang propesor ng edukasyong pang-administratibo sa Åbo Akademi University sa Finland ( Vaisa ) .,"Isa siyang Propesor ng Edukasyong Adulto sa Åbo Akademi University sa Vaisa , Finland ."
6714,It was created with the redistribution in 1972 and replaced the abolished Toowoomba East .,"It was created with the 1972 redistribution , and replaced the abolished Toowoomba East .",1,Ito ay nilikha sa pamamagitan ng muling pamamahagi noong 1972 at pinalitan ang inalis na Toowoomba East .,"Ito ay nilikha sa pamamagitan ng 1972 republishon , at pinalitan ang inalis Toowoomba East ."
47971,"`` , Williams turned heel and reformed the British Invasion with Magnus by attacking the team of Eric Young and Orlando Jordan .",Williams turned the heel and reformed the British invasion with Magnus by attacking the Eric Young and Orlando Jordan team .,1,"``` , si Williams ay nagliko ng sakong at binago ang Paglusob ng Britanya kay Magnus sa pamamagitan ng pagsalakay sa pangkat nina Eric Young at Orlando Jordan .",Williams ang sakong at binago ang pagsalakay ng Britanya kay Magnus sa pamamagitan ng pagsalakay sa koponan ng Eric Young at Orlando Jordan .
3891,"Shaffer Creek is an tributary of Raystown Branch Juniata River ( Brush Creek ) in Bedford County , Pennsylvania in the United States .","Shaffer Creek is a tributary of the Raystown Branch Juniata River ( Brush Creek ) in Bedford County , Pennsylvania , United States .",1,"Ang Shaffer Creek ay isang sangang-bayan ng Raystown Branch Juniata River (Brush Creek ) sa Bedford County , Pennsylvania sa Estados Unidos .","Ang Shaffer Creek ay isang sangang-bayan ng Raystown Branch Juniata River (Brush Creek ) sa Bedford County , Pennsylvania , Estados Unidos ."
2661,"He was survived by his wife , former Barbara Crutchley , his sons Norman F. Boas and Donald P. Boas and his daughter , Helen Tuthill Sisson .","He was survived by his wife , the former Barbara Crutchley , his sons Norman F. Boas and Donald P. Boas , and his daughter Helen Tuthill Sisson .",1,"Siya ay nakaligtas sa pamamagitan ng kanyang asawa , ang dating Barbara Crutchley , ang kanyang mga anak na lalaking sina Norman F. Boas at Donald P. Boas at ang kanyang anak na babae , Helen Tuthill Sisson .","Siya ay nakaligtas sa pamamagitan ng kanyang asawa , ang dating Barbara Crutchley , ang kanyang mga anak na lalaking sina Norman F. Boas at Donald P. Boas , at ang kanyang anak na si Helen Tuthill Sisson ."
32792,"In 1992 , he was elected Croydon North West for the first time after having previously denied the seat unsuccessfully in 1987 .",He was first elected in 1992 for Croydon North West after having previously contested the seat unsuccessfully in 1987 .,1,"Noong 1992 , siya ay nahalal na Croydon North West sa unang pagkakataon pagkatapos na nakaraang itinanggi ang upuan ay hindi nagtagumpay noong 1987 .",Siya ay unang nahalal noong 1992 para kay Croydon North West pagkatapos na ang dating contested ang upuan ay hindi nagtagumpay noong 1987 .
1941,"Farrer was born in London , the younger brother of Thomas Charles Farrer , an artist .","Farrer was born in London , the younger brother of artist Thomas Charles Farrer .",1,"Si Farrer ay ipinanganak sa London , ang nakababatang kapatid ni Thomas Charles Farrer , isang artista .","Si Farrer ay ipinanganak sa London , ang nakababatang kapatid ng artistang si Thomas Charles Farrer ."
323,He also wrote a large number of vocal arrangements and orchestral accompaniments to varieties .,He also wrote a large number of vocal arrangements and orchestral accompaniments for varieties .,1,Nagsulat din siya ng isang malaking bilang ng mga pag-aayos na pangtinig at mga saliw na orkestral sa mga sari-saring uri .,Nagsulat din siya ng isang malaking bilang ng mga pag-aayos na pangtinig at mga saliw na orkestral para sa mga sari-saring uri .
42408,"Eileen Chong was born in Singapore in 1980 , moved to Sydney in 2007 .","Eileen Chong was born in 1980 in Singapore . She moved to Sydney , Australia in 2007 .",1,"Si Eileen Chong ay ipinanganak sa Singapore noong 1980 , lumipat sa Sydney noong 2007 .","Si Eileen Chong ay ipinanganak noong 1980 sa Singapore . Siya ay lumipat sa Sydney , Australia noong 2007 ."
39,"He was born in New York City in East Broadway on October 23 , 1806 .","He was born on 23 October 1806 in New York , East Broadway .",1,"Ipinanganak siya sa Lungsod ng New York sa East Broadway noong Oktubre 23 , 1806 .","Ipinanganak siya noong 23 Oktubre 1806 sa New York , East Broadway ."
45491,"A market was perceived for future tours and destinations , Scandinavia followed in April 1975 and in September followed another tour to Switzerland .",A market was perceived for future tours and destinations . Scandinavia followed in April 1975 and there was another tour to Switzerland in September .,1,"Ang isang merkado ay naisip para sa mga susunod na tour at destinasyon , Scandinavia ay sinundan sa Abril 1975 at noong Setyembre ay sumunod sa isa pang tour sa Switzerland .",Ang isang merkado ay napagtanto para sa mga susunod na tour at destinasyon . Scandinavia sinundan sa Abril 1975 at nagkaroon ng isa pang tour sa Switzerland sa Setyembre .
17394,Homer Township was established by a division of Albion Township in 1837 .,Homer Township was founded in 1837 by a division of Albion Township .,1,Itinatag ang Homer Township sa pamamagitan ng isang dibisyon ng Albion Township noong 1837 .,Ang Homer Township ay itinatag noong 1837 sa pamamagitan ng isang dibisyon ng Albion Township .
39888,"Inception is a science fiction film from 2010 , co-produced by Emma Thomas and written , co-produced and staged by Christopher Nolan .","Inception is a science fiction film from 2010 , written , co-produced and staged by Christopher Nolan and co-produced by Emma Thomas .",1,"Ang Inception ay isang science fiction film mula 2010 , co-produced ni Emma Thomas at isinulat , co-produced at itinanghal ni Christopher Nolan .","Ang Inception ay isang science fiction film mula 2010 , isinulat , co-produced at itinanghal ni Christopher Nolan at co-produced ni Emma Thomas ."
