id,premise,choice1,choice2,question,label,mirrored,premise_opus,choice1_opus,choice2_opus
454,The boy threw a temper tantrum.,He shared his toys with his brother.,His brother took his toys from him.,cause,2,0,Nag - alburoto ang bata.,Ibinahagi niya ang kaniyang mga laruan sa kaniyang kapatid na lalaki.,Kinuha ng kanyang kapatid ang kanyang mga laruan sa kanya.
1043,The executive decided to hire the applicant.,The applicant failed a background check.,The applicant had experience for the job.,cause,2,1,Ipinasiya ng ehekutibo na upahan ang aplikante.,Ang aplikante ay hindi nakapasa sa isang background check.,Ang aplikante ay may karanasan sa trabahong iyon.
1237,The man hid his feet.,He got a hole in his sock.,He dropped a hammer on his foot.,cause,1,1,Itinago ng lalaki ang kaniyang mga paa.,Nabutasan niya ang kaniyang puwitan.,Naghulog siya ng martilyo sa kaniyang paa.
273,The man took notice of the woman.,He caught a whiff of her perfume.,He had his back turned to her.,cause,1,0,Napansin ng lalaki ang babae.,Nakakuha siya ng kaunting pabango.,Siya'y tumalikod sa kaniya.
1463,I was less worried about losing the key.,I turned the key in the lock.,I made a duplicate of the key.,cause,2,1,Hindi na ako gaanong nag - aalala na baka mawala ang susi.,Binuksan ko ang susi sa kandado.,Kinopya ko ang susi.
70,The boy tuned the radio.,The station was playing rock music.,The station was coming in with static.,cause,2,0,Itinuloy ng batang lalaki ang radyo.,Ang istasyon ay tumutugtog ng musikang rock.,Ang istasyon ay pumapasok taglay ang static.
1465,The animal species became populous.,Their habitat was destroyed.,Their predators went extinct.,cause,2,1,Ang mga uri ng hayop ay naging matao.,Nasira ang kanilang tirahan.,Ang kanilang mga maninila ay nalipol.
1489,The woman contacted the maid service.,The woman needed to clean her house.,The woman planned to buy a condo.,cause,1,1,Nakipag - ugnayan ang babae sa paglilingkod sa alilang babae.,Kailangang linisin ng babae ang kaniyang bahay.,Ang babae ay nagplanong bumili ng isang condo.
1072,The police was hit by the suspect.,The suspect resisted arrest.,The police called for backup.,cause,2,1,Ang pulis ay tinamaan ng suspek.,Ang suspek ay tumanggi sa pag-aresto.,Ang pulisya ay tumawag ng backup.
1462,Everybody in the car stopped singing along.,The car radio shut off.,A deer appeared on the road.,cause,1,1,Lahat ng nasa kotse ay huminto ng pag - awit.,Ang radyo sa kotse ay nagsara.,Isang usa ang lumitaw sa daan.
128,The parents left their children with a babysitter.,They made plans to celebrate their anniversary.,Their youngest child started attending preschool.,cause,1,0,Iniwan ng mga magulang ang kanilang mga anak sa pamamagitan ng isang yaya.,Gumawa sila ng mga plano upang ipagdiwang ang kanilang anibersaryo.,Ang kanilang bunsong anak ay nagsimulang mag - aral sa preschool.
155,The woman received a diploma.,She enrolled in college.,She graduated from college.,cause,2,0,Ang babae ay tumanggap ng diploma.,Nagpatala siya sa kolehiyo.,Nagtapos siya ng kolehiyo.
21,The girl received a trophy.,She won a spelling bee.,She made a new friend.,cause,1,0,Ang batang babae ay tumanggap ng isang tropeo.,Nanalo siya ng isang espesyeng bubuyog.,Nagkaroon siya ng bagong kaibigan.
1118,The student learned most mistakes.,He talked back to the teacher.,The teacher graded his homework.,cause,2,1,Ang estudyante ay natuto ng karamihan ng pagkakamali.,Siya'y nakipag - usap sa guro.,Minaliit ng guro ang kaniyang araling - bahay.
1150,The patient felt happy.,The patient's family visited him.,The patient's symptoms cleared up.,cause,1,1,Ang pasyente ay nakadama ng kaligayahan.,Dinalaw siya ng pamilya ng pasyente.,Naibsan ang mga sintomas ng pasyente.
1005,The guests of the party brought candles.,It was a birthday party.,It was a surprise party.,cause,1,1,Ang mga panauhin ng partido ay nagdala ng mga kandila.,Iyon ay isang birthday party.,Iyon ay isang sorpresang parti.
300,The man felt thankful to be alive.,He was cured of cancer.,His wife was diagnosed with cancer.,cause,1,0,Ang lalaki ay nagpasalamat na siya'y buháy.,Siya ay gumaling sa kanser.,Ang kaniyang asawa ay nasuri na may kanser.
119,The boy's hands were shaking.,He planned to ask the girl out.,His palms were cold and sweaty.,cause,1,0,Ang mga kamay ng bata ay nangangatog.,Binalak niyang tanungin ang babae.,Malamig at pawis ang kaniyang mga palad.
445,The journalist wrote a biography about the humanitarian's life.,The humanitarian was difficult for the journalist to interview.,The journalist was intrigued by the humanitarian's work.,cause,2,0,Ang peryodista ay sumulat ng isang talambuhay tungkol sa buhay ng mapagkawanggawa.,Ang mapagkawanggawa ay mahirap kapanayamin ng peryodista.,Ang peryodista ay naintriga sa gawa ng mapagkawanggawa.
438,The man felt obligated to attend the event.,He promised his friend that he would go.,He turned down his friend's invitation to go.,cause,1,0,Nadama ng lalaki na obligado siyang dumalo sa okasyong iyon.,Ipinangako niya sa kaniyang kaibigan na siya'y aalis.,Tinanggihan niya ang paanyaya ng kaniyang kaibigan na pumunta.
485,The woman was arrested.,She committed assault.,She checked into rehab.,cause,1,0,Inaresto ang babae.,Siya'y gumawa ng pagsalakay.,Sinuri niya ang rehab.
1003,The women were surprised.,The cafe reopened in a new location.,They wanted to catch up with each other.,cause,1,1,Nagulat ang mga babae.,Muling binuksan ang cafe sa isang bagong lokasyon.,Nais nilang mag-alsa sa isa't isa.
1360,The teenager made many new friends.,He joined the basketball team.,He went through a growth spurt.,cause,1,1,Ang tin - edyer ay nagkaroon ng maraming bagong kaibigan.,Sumali siya sa koponan ng basketbol.,Bigla siyang lumaki.
1187,The boy cut his hand in the sand.,He was building a sand castle.,He was collecting seashells in the sand.,cause,2,1,Hiniwa ng batang lalaki ang kaniyang kamay sa buhangin.,Siya ay nagtatayo ng isang kastilyong buhangin.,Nagtitipon siya ng mga kabibi sa buhangin.
1364,I did not worry about my computer crashing.,I backed up my files.,I downloaded a virus.,cause,1,1,Hindi ako nag - alala sa pagbagsak ng aking computer.,Sinuhayan ko ang aking mga files.,Nag - download ako ng virus.
1096,The woman looked for a job.,She received a salary bonus.,Her husband got laid off.,cause,2,1,Ang babae ay humanap ng trabaho.,Tumanggap siya ng bonus sa suweldo.,Ang kaniyang asawa ay natanggal sa trabaho.
385,The librarian located the book in the stacks.,I requested the librarian's help.,The book was checked out.,cause,1,0,Nasumpungan ng katiwala ng aklatan ang aklat sa mga salansanan.,Humingi ako ng tulong sa katiwala ng aklatan.,Sinuri ang aklat.
1411,The bowling ball did not knock over any bowling pins.,The man dropped the bowling ball on his foot.,The man rolled the bowling ball down the alley.,cause,1,1,Ang bola ng bowling ay hindi nakatuktok sa anumang bowling pins.,Ibinaba ng lalaki ang bola sa kaniyang paa.,Pinagulong ng lalaki ang bola sa bowling sa iskinita.
1193,The student hid his test grade from his classmates.,He received a perfect score.,He feigned interest in the class.,cause,2,1,Initago ng estudyante ang kaniyang marka sa pagsusulit sa kaniyang mga kaklase.,Nakatanggap siya ng perpektong iskor.,Nagkunwari siyang interesado sa klase.
1300,The man felt depressed.,His wife was diagnosed with cancer.,He was cured of cancer.,cause,1,1,Ang lalaki ay nanlumo.,Ang kaniyang asawa ay nasuri na may kanser.,Siya ay gumaling sa kanser.
1021,The girl was not lonely anymore.,She made a new friend.,She won a spelling bee.,cause,1,1,Ang babae ay hindi na malungkot.,Nagkaroon siya ng bagong kaibigan.,Nanalo siya ng isang espesyeng bubuyog.
28,The child became immune to the disease.,He received the vaccine for the disease.,He avoided exposure to the disease.,cause,1,0,Ang bata ay hindi na tinatablan ng sakit.,Natanggap niya ang bakuna para sa sakit.,Iniiwasan niya ang pagkahantad sa sakit.
297,The man took a shower.,He opened a new bar of soap.,He was sweaty from working out.,cause,2,0,Ang lalaki ay naliligo.,Binuksan niya ang isang bagong bareta ng sabon.,Siya'y pawis na pawis dahil sa pagtatrabaho.
1180,The mother suspected that her son was upset.,He refused to talk to her.,He avoided making eye contact with her.,cause,1,1,Pinaghinalaan ng ina na ang kaniyang anak na lalaki ay nabalisa.,Tumanggi siyang makipag - usap sa kaniya.,Iniiwasan niya ang pagtingin sa kaniya.
1117,I promised to give a straight answer to the question.,The question made me uncomfortable.,I wanted to be honest.,cause,2,1,Nangako akong magbibigay ng tuwirang sagot sa tanong na ito.,Hindi ako komportable sa tanong na ito.,Gusto kong maging tapat.
1161,The coach gave his player a headshake.,The player got a penalty.,The player scored a point.,cause,1,1,Binigyan ng coach ang kaniyang manlalaro ng pag - alog sa ulo.,Nakakuha ng parusa ang manlalaro.,Ang manlalaro ay nakakuha ng puntos.
1210,The parents allowed their children to watch the movie.,The movie was rated R.,The movie was animated.,cause,2,1,Pinayagan ng mga magulang ang kanilang mga anak na manood ng pelikula.,Ang pelikula ay inuri na R.,Ang pelikula ay masigla.
1394,The mother praised her daughter.,Her daughter set the kitchen table.,Her daughter burped at the kitchen table.,cause,1,1,Pinuri ng ina ang kaniyang anak na babae.,Ang kaniyang anak na babae ang naglagay ng mesa sa kusina.,Ang kaniyang anak na babae ay sumagwan sa mesa sa kusina.
1417,The children rang the bell at the woman's house.,The children trampled through her garden.,The children hit a ball into her yard.,cause,2,1,Pinatunog ng mga bata ang kampana sa bahay ng babae.,Niyurakan ng mga bata ang kaniyang hardin.,Ang mga bata ay nagpatama ng bola sa kaniyang bakuran.
184,The benefactor requested to stay anonymous.,He supported the cause behind his donation.,He wanted to maintain his privacy.,cause,2,0,Hiniling ng tagapagpala na manatiling di - kilala.,Sinuportahan niya ang dahilan sa likod ng kaniyang donasyon.,Nais niyang panatilihin ang kaniyang pribadong buhay.
350,Marine life diminished.,Boats sailed through the ocean.,Oil spilled into the ocean.,cause,2,0,Ang buhay - dagat ay nabawasan.,Ang mga bangka ay naglalayag sa karagatan.,Ang langis ay natapon sa karagatan.
1493,The man saw an empty parking spot.,The parking meter expired.,He parallel parked on the street.,cause,2,1,Nakita ng lalaki ang isang bakanteng paradahan.,Natapos na ang parking meter.,Nakahilera siya sa nakaparadang mga sasakyan sa lansangan.
1385,The librarian told me that I couldn't borrow the book.,The book was checked out.,I requested the librarian's help.,cause,1,1,Sinabi sa akin ng katiwala ng aklatan na hindi ko maaaring hiramin ang aklat.,Sinuri ang aklat.,Humingi ako ng tulong sa katiwala ng aklatan.
1040,The woman hired a public relations consultant.,She decided to run for office.,She decided to sue her employer.,cause,1,1,Umupa ang babae ng isang public relation consultant.,Nagpasiya siyang tumakbo para manungkulan.,Ipinasiya niyang idemanda ang kaniyang amo.
416,The judge pounded the gavel.,The jury announced its verdict.,The courtroom broke into uproar.,cause,2,0,Hinampas ng hukom ang hitl.,Ipinahayag ng hurado ang hatol nito.,Ang hukuman ay nagkagulo.
280,The woman's eyeglasses fogged up.,She entered the sauna.,She reclined by the pool.,cause,1,0,Ang mga salamin sa mata ng babae ay dumidilim.,Pumasok siya sa sauna.,Naupo siya sa tabi ng tipunang - tubig.
243,The family postponed the barbeque.,The forecast called for storms.,It was a holiday weekend.,cause,1,0,Inantala ng pamilya ang pag - aayos ng mga tinik.,Ang paghula ay nangangailangan ng mga bagyo.,Iyon ay isang kapistahang dulo ng sanlinggo.
1352,The customer was embarassed at the cash register.,The window display caught her eye.,She left her wallet at home.,cause,2,1,Ang parokyano ay inembaras sa cash register.,Ang displey sa bintana ay nakatawag ng kaniyang pansin.,Iniwan niya ang kaniyang pitaka sa bahay.
1361,The patient could not afford the medical procedure.,The procedure was costly.,Specialists recommended the procedure.,cause,1,1,Hindi kaya ng pasyente ang paraan ng paggamot.,Ang pamamaraan ay magastos.,Inirekomenda ng mga dalubhasa ang pamamaraang ito.
1211,The woman read the email.,The sender tried to solicit money from her.,The sender requested a response from her.,cause,2,1,Binasa ng babae ang email.,Sinikap ng nagpadala na mangilak ng salapi mula sa kaniya.,Humiling ang nagpadala ng sagot mula sa kaniya.
96,The woman took her family on vacation.,Her husband got laid off.,She received a salary bonus.,cause,2,0,Isinasama ng babae ang kaniyang pamilya sa bakasyon.,Ang kaniyang asawa ay natanggal sa trabaho.,Tumanggap siya ng bonus sa suweldo.
1267,The letters were blown from my mailbox.,The lid on the mailbox broke.,I went on vacation for two weeks.,cause,1,1,Ang mga sulat ay pinasabog sa aking buson.,Nabali ang takip ng buson.,Nagbakasyon ako sa loob ng dalawang linggo.
5,The guests of the party hid behind the couch.,It was a birthday party.,It was a surprise party.,cause,2,0,Ang mga panauhin ng partido ay nagtago sa likod ng sopa.,Iyon ay isang birthday party.,Iyon ay isang sorpresang parti.
323,The scientist gained recognition.,She discovered a new species.,She received tenure at the university.,cause,1,0,Kinilala ang siyentipiko.,Natuklasan niya ang isang bagong uri.,Nakatanggap siya ng tenure sa unibersidad.
40,The woman hired a lawyer.,She decided to run for office.,She decided to sue her employer.,cause,2,0,Umupa ang babae ng isang abogado.,Nagpasiya siyang tumakbo para manungkulan.,Ipinasiya niyang idemanda ang kaniyang amo.
26,The skydiver glided safely to the ground.,She opened her parachute.,She jumped out of the plane.,cause,1,0,Ang skydiver ay ligtas na sumasalimbay sa lupa.,Binuksan niya ang kaniyang parasyut.,Tumalon siya sa eroplano.
420,The woman ran her finger under cold water.,She burned her finger on the toaster.,She put a diamond ring on her finger.,cause,1,0,Tinatakbo ng babae ang kaniyang daliri sa ilalim ng malamig na tubig.,Sinunog niya ang kaniyang daliri sa toaster.,Naglagay siya ng singsing na brilyante sa kaniyang daliri.
1387,I called several realtors.,I was hunting for a new apartment.,I was moving out of my apartment.,cause,1,1,Tinawag ko ang ilang tunay na mga artista.,Naghahanap ako ng bagong apartment.,Ako'y umaalis ng aking apartment.
1090,The boy communicated with his grandfather by writing.,His grandfather was deaf.,His grandfather was blind.,cause,1,1,Ang bata ay nakipagtalastasan sa kaniyang lolo sa pamamagitan ng pagsulat.,Ang kaniyang lolo ay bingi.,Bulag ang kanyang lolo.
1278,The woman invited her sister for coffee.,The woman looked like her sister.,The woman was close with her sister.,cause,2,1,Inanyayahan ng babae ang kaniyang kapatid na babae para magkape.,Parang kapatid niya ang babae.,Ang babae ay malapit sa kaniyang kapatid na babae.
1240,The photo album collection was treasured.,The family reminisced over the photos.,They remained untouched for years.,cause,1,1,Ang koleksiyon ng mga larawan ng album ay lubhang pinahahalagahan.,Nagunita ng pamilya ang mga larawan.,Ang mga ito'y hindi pa rin nangyari sa loob ng maraming taon.
334,The woman suffered amnesia.,She had an allergic reaction.,She got into a car accident.,cause,2,0,Ang babae ay dumanas ng amnesia.,Nagkaroon siya ng alerdyi.,Naaksidente siya sa kotse.
1126,The girl threw her clothes away.,The clothes were tattered.,She outgrew the clothes.,cause,1,1,Itinapon ng batang babae ang kaniyang mga damit.,Ang mga damit ay sira - sira.,Siya ang nag - aalis ng mga damit.
1241,I got hooked to my conversation with the woman.,The woman was telling a funny story.,Everyone in the room was talking.,cause,1,1,Nagumon ako sa aking pakikipag - usap sa babae.,Naglalahad ang babae ng isang nakakatawang kuwento.,Lahat ng nasa silid ay nag - uusap.
67,I learned how to play the board game.,My friend got the rules wrong.,My friend explained the rules to me.,cause,2,0,Natuto akong maglaro ng board game.,Mali ang ginawa ng kaibigan ko.,Ipinaliwanag sa akin ng kaibigan ko ang mga tuntunin.
356,The employee missed work.,Her family got in touch with her.,There was a death in her family.,cause,2,0,Ang empleado ay naubusan ng trabaho.,Nakipag - ugnayan sa kaniya ang kaniyang pamilya.,Namatay ang kaniyang pamilya.
1466,The man noticed that the woman likes jewelry.,The woman got her hair cut.,The woman wore a bracelet.,cause,2,1,Napansin ng lalaki na ang babae ay mahilig sa alahas.,Nagupit ang buhok ng babae.,Ang babae ay nagsuot ng pulseras.
302,The woman felt reluctant to switch careers.,She made a lot of money in her current occupation.,She endured a lot of stress in her current occupation.,cause,1,0,Nag - atubili ang babae na magpalit ng karera.,Malaki ang kinikita niya sa kaniyang kasalukuyang hanapbuhay.,Nagbata siya ng maraming kaigtingan sa kaniyang kasalukuyang trabaho.
256,Cars moved to the shoulder of the road.,A screaming ambulance approached.,The traffic light turned green.,cause,1,0,Lumipat ang mga kotse sa balikat ng daan.,Lumapit ang isang sumisigaw na ambulansiya.,Ang ilaw trapiko ay naging berde.
212,The police eliminated the woman from the list of suspects.,The police interrogated her.,Her alibi checked out.,cause,2,0,Inalis ng pulisya ang babae mula sa talaan ng mga pinaghihinalaan.,Tinanong siya ng mga pulis.,Sinuri ito ng kaniyang alibi.
180,The mother suspected that her son was lying.,He refused to talk to her.,He avoided making eye contact with her.,cause,2,0,Nagsuspetsa ang ina na nagsisinungaling ang kaniyang anak.,Tumanggi siyang makipag - usap sa kaniya.,Iniiwasan niya ang pagtingin sa kaniya.
106,The pharmaceutical company recalled the drug.,Users got refills on their prescriptions.,Users reported dangerous side effects.,cause,2,0,Nagunita ng kompanya ng gamot ang droga.,Ang mga gumagamit ay muling nagreseta ng kanilang mga reseta.,Iniulat ng mga gumagamit nito ang mapanganib na masasamang epekto.
1323,The scientist continued with her ongoing research.,She received tenure at the university.,She discovered a new species.,cause,1,1,Nagpatuloy ang siyentipiko sa kaniyang patuloy na pananaliksik.,Nakatanggap siya ng tenure sa unibersidad.,Natuklasan niya ang isang bagong uri.
24,The host cancelled the party.,She worried she would catch the flu.,She was certain she had the flu.,cause,2,0,Kinansela ng punong-abala ang partido.,Siya'y nag - aalala na baka siya'y magkaroon ng trangkaso.,Natitiyak niya na siya ay may trangkaso.
1305,The woman stayed late in the bar.,She was familiar with the bartender.,She was the designated driver for the night.,cause,1,1,Ang babae ay nanatili nang gabing - gabi na sa bar.,Pamilyar siya sa barnder.,Siya ang itinalagang tsuper para sa gabing iyon.
1256,Cars moved to the intersection of the road.,The traffic light turned green.,A screaming ambulance approached.,cause,1,1,Lumipat ang mga kotse sa interseksiyon ng daan.,Ang ilaw trapiko ay naging berde.,Lumapit ang isang sumisigaw na ambulansiya.
1024,The woman got vaccinated.,She was certain she had the flu.,She worried she would catch the flu.,cause,2,1,Ang babae ay nabakunahan.,Natitiyak niya na siya ay may trangkaso.,Siya'y nag - aalala na baka siya'y magkaroon ng trangkaso.
1356,The woman reconnected with distant relatives.,Her family got in touch with her.,There was a death in her family.,cause,1,1,Muling nakipagkaibigan ang babae sa malalayong kamag - anak.,Nakipag - ugnayan sa kaniya ang kaniyang pamilya.,Namatay ang kaniyang pamilya.
150,The hospital sent the patient home.,The patient's symptoms cleared up.,The patient's family visited him.,cause,1,0,Pinauwi ng ospital ang pasyente.,Naibsan ang mga sintomas ng pasyente.,Dinalaw siya ng pamilya ng pasyente.
1123,The inside of the train became destroyed.,The train ran off the tracks.,The train travelled through a tunnel.,cause,1,1,Nawasak ang loob ng tren.,Ang tren ay bumaba sa riles.,Ang tren ay naglakbay sa isang tunel.
1197,My flight got rescheduled.,Tornadoes were sighted in the area.,I was held up at airport security.,cause,2,1,Muling nawasak ang aking paglipad.,Nakakita ng mga buhawi sa lugar na iyon.,Ako'y ikinulong sa seguridad ng paliparan.
1302,The woman quit her job recently.,She made a lot of money in her current occupation.,She endured a lot of stress in her current occupation.,cause,2,1,Ang babae ay nagbitiw kamakailan sa kaniyang trabaho.,Malaki ang kinikita niya sa kaniyang kasalukuyang hanapbuhay.,Nagbata siya ng maraming kaigtingan sa kaniyang kasalukuyang trabaho.
117,I avoided giving a straight answer to the question.,The question made me uncomfortable.,I wanted to be honest.,cause,1,0,Iniiwasan kong magbigay ng tuwirang sagot sa tanong na ito.,Hindi ako komportable sa tanong na ito.,Gusto kong maging tapat.
158,The woman covered her ears.,The woman smelled smoke.,The fire alarm blared.,cause,2,0,Tinakpan ng babae ang kaniyang mga tainga.,Naamoy ng babae ang usok.,Sumindi ang alarma sa sunog.
1019,I recognized the caller.,The caller identified himself to me.,The caller said goodbye to me.,cause,1,1,Nakilala ko ang tumawag.,Ipinakilala sa akin ng tumawag ang kaniyang sarili.,Ang tumawag ay nagpaalam sa akin.
182,A crater formed on the moon.,A comet passed by the moon.,A comet collided with the moon.,cause,2,0,Isang bunganga ng bulkan ang nabuo sa buwan.,Isang kometa ang dumaan sa buwan.,Isang kometa ang bumangga sa buwan.
