gold_label,sentence1,sentence2,sentence1_opus,sentence2_opus
neutral,"The sound, some 3 km (2 miles) in diameter, is thought to be a huge caldera that formed after a powerful volcanic eruption.","The 2 mile sound could have been caused by many things, including a volcanic eruption.","Ang tunog, mga 3 km (2 milya) ang diyametro, ay inaakalang isang pagkalaki - laking caldera na nabuo pagkatapos ng isang malakas na pagsabog ng bulkan.","Ang 2 milyang tunog ay maaaring dahil sa maraming bagay, pati na sa pagputok ng bulkan."
neutral,Ha!  Wolverstone vented an ejaculation of sneering mirth.,Wolverstone thought that was funny.,Ang Ha! na Wolverstone ay naglabas ng isang larawan ng nakakutyang katuwaan.,Inakala ni Wolverstone na nakakatawa iyon.
neutral,"12HEI sponsored the multi-city the National Morbidity, Mortality, and Air Pollution Study (NMMAPS).",12HEI is related directly to air pollution.,"12HEI ang multi-city ang National Morbidity, Diversity, at Air Polusyon Study (NMMAPS).",12HEI ay tuwirang nauugnay sa polusyon sa hangin.
neutral,well i have a VCR and i've had to return it a couple of times because of the same part failure and uh it's still not getting a real good picture,The VCR only works for about a week and then it is broken again.,magkaroon ako ng boot at i ay kinailangang ibalik ito ng dalawang beses dahil sa parehong bahagi ng pagkabigo at uh ito ay hindi pa rin makakuha ng isang tunay na magandang larawan,Halos isang linggo lamang gumagana ang VCR at pagkatapos ay ito'y muling binabasag.
neutral,"Pitt, who watched the scene from the quarter-deck rail, tells us that his lordship was as grave as a parson at a hanging.",Pitt had never seen his lordship as grave as he was then.,"Si Pitt, na pinanood ang eksena mula sa quarter-deck rail, ay nagsasabi sa atin na ang kanyang pagkapanginoon ay kasing laki ng isang parson sa isang nakabitin.",Hindi pa kailanman nakita ni Pitt ang kaniyang pagkapanginoon na para bang siya'y libingan noon.
neutral,"But his time was consumed with getting new officials in place and working on the foundation documents of a new defense policy, the quadrennial defense review, the defense planning guidance, and the existing contingency plans.",The final defense policy document was over five hundred pages long.,"Subalit ang kaniyang panahon ay umubos ng panahon sa paglalagay ng bagong mga opisyal sa lugar at paggawa sa mga pundasyong dokumento ng isang bagong patakaran sa depensa, ang quadrnial defense review, ang giya sa pagpaplano ng depensa, at ang umiiral na mga plano ng konstituensiya.",Ang pangwakas na dokumento ng patakaran sa depensa ay mahigit na limang daang pahina ang haba.
neutral,So he stayed in Augusta after that?,Did he stay in Augusta after the riot?,Kaya nanatili siya sa Augusta pagkatapos noon?,Nanatili ba siya sa Augusta pagkatapos ng kaguluhan?
neutral,We didn't know what a U2 was and nobody knew anything about a U2.,We didn't know what to call the thing we saw in the air.,Hindi namin alam kung ano ang U2 at walang nakaaalam ng anuman tungkol sa isang U2.,Hindi namin alam kung ano ang itatawag sa bagay na nakita namin sa himpapawid.
neutral,"As a result, neither the U.S. nor the Saudi people appreciated all the dimensions of the bilateral relationship, including the Saudi role in U.S. strategies to promote the Middle East peace process.",The Saudis invited the US envoy to come work on the middle east peace project.,"Bunga nito, hindi pinahalagahan ng E.U. ni ng mga taga - Saudi ang lahat ng sukat ng ugnayang bilateral, pati na ang papel ng Saudi sa mga estratehiya ng E.U. upang itaguyod ang proseso ng kapayapaan sa Gitnang Silangan.",Inanyayahan ng mga Saudi ang sugo ng US na pumunta sa proyektong kapayapaan sa gitnang silangan.
neutral,yeah because it's uh it had definitely been through the mill but uh,I wish that this did not have to happen since it was so discouraging.,yah sapagkat ito'y tiyak na nagamit sa pamamagitan ng gilingan subalit uh,Sana'y hindi na ito mangyari yamang ito'y totoong nakapanghihina ng loob.
neutral,"That's kind of unique in that I, uh, spent, uh, about 16 years of my career in Special Activities.",My favorite job was in Special Activities.,"Iyan ay kakaiba sa bagay na ako, uh, ay gumugol, uh, mga 16 na taon ng aking karera sa Pantanging mga Gawain.",Ang paborito kong trabaho ay sa mga Pantanging Gawain.
neutral,yeah they had a whole bunch of things that that sort of broke at the same time,Some of the broken stuff was valuable.,Kayoa ay may isang buong kumpol ng mga bagay na sabay - sabay na binasag ng gayong uri ng mga bagay,Ang ilan sa mga nasirang bagay ay mahalaga.
neutral,"A renowned proponent of Mexican Spanish folklore in the Southwest and California was Charles F. Lummis (1859-1928), a self-taught photographer, ethnologist, musicologist, journalist, and the founder of the Southwest Museum in Los Angeles.",Charles F. Lummis was funny.,"Isang kilalang protonent ng Mexican Spanish folk sa Southwest at California ay si Charles F. Lummis (1859-1928), isang self-intelektuwal photographer, etnologist, musicologist, journalist, at ang tagapagtatag ng Southwest Museum sa Los Angeles.",Katawa-tawa si Charles F. Lummis.
neutral,"As a result, his salary was raised and his other allowances stipend increased significantly, from approximately $465 to $3,925 a month, remaining at that level until December 2000.",He needed more money in order to travel.,"Bunga nito, itinaas ang kaniyang sahod at ang kaniyang iba pang mga palugit ay lubhang tumaas, mula sa humigit - kumulang $465 tungo sa $3,925 isang buwan, nananatili sa antas na iyon hanggang Disyembre 2000.",Kailangan niya ng higit pang salapi upang makapaglakbay.
neutral,"About him in the waist, where all last night had been so peaceful, there was a frenziedly active bustle of some threescore men.",This evening was busier than usual because of an event being hosted.,"Tungkol sa kaniya sa baywang, na kung saan noong nakaraang gabi ay mapayapang - payapa, mayroong magulong aktibong pagmamadali ng mga anim na pung lalaki.",Ang gabing ito ay mas abala kaysa karaniwan dahilan sa isang okasyon na ginaganap.
neutral,"As with all gifts to the Institute, 100% of your contribution will be used directly for research.",Every penny goes towards cancer research.,"Katulad ng lahat ng mga regalo sa Institute, 100% ng inyong kontribusyon ay tuwirang gagamitin para sa pananaliksik.",Bawat kusing ay nagtutungo sa pananaliksik sa kanser.
neutral,The rugged mountains of the Serra de Tramuntana sweep down to the sea so steeply here that there are few points of access and only one harbor and port of any size along the coast.,The mountains constantly have landslides for the harbors aren't easily built there.,Ang baku - bakong kabundukan ng Serra de Tramuntana ay umaalimpuyo sa dagat nang gayon na lamang katarik anupat iilan lamang ang lugar na mararating at iisa lamang ang daungan at daungan na may anumang laki sa kahabaan ng baybayin.,Ang mga bundok ay palaging may pagguho ng lupa para sa mga daungan ay hindi madaling itinayo roon.
neutral,"The First Wives Club, a revenge-comedy about three abandoned wives, grossed more on its first weekend than any other women's film in history.","The stars and the acting, more than the plot line of First Wives Club, helped to set record box office sales.","Ang First Wives Club, isang paghihiganti-komedya na tungkol sa tatlong inabandonang asawa, ay mas nagresulta sa unang weekend nito kaysa sa anumang ibang pelikulang pambabae sa kasaysayan.","Ang mga bituin at ang pag-arte, higit pa sa plot line ng First Wives Club, ay tumulong sa pagtatakda ng mga benta ng record box office."
neutral,"Anyway it got up to, we had about uh, ah, I don't remember the numbers.",I don't remember how many workers we had.,"Sa paano man ito ay umabot, mayroon kaming mga uh, ah, hindi ko natatandaan ang mga numero.",Hindi ko matandaan kung ilan ang aming mga manggagawa.
neutral,The best thing that may be said of Podhoretz and Decter is that their biological clocks can't have many more minutes left on them.,Decter is 85 years old.,Ang pinakamabuting bagay na maaaring sabihin tungkol kina Podhoretz at Decter ay na ang kanilang biyolohikal na mga orasan ay hindi maaaring magkaroon ng marami pang minutong natitira sa mga ito.,Ang Decter ay 85 taóng gulang.
neutral,"Thus, it is possible to pick out the necessary morsels of information in noisy surroundings, if facial expressions, gestures and other contextual clues are taken into account.",You can understand what is being communicated by facial expressions and hand gestures even when you can't hear what is being said.,"Kaya, posibleng piliin ang kinakailangang mga piraso ng impormasyon sa maingay na kapaligiran, kung isasaalang - alang ang mga ekspresyon ng mukha, mga kumpas at iba pang mga pahiwatig sa konteksto.",Mauunawaan mo kung ano ang ipinababatid sa pamamagitan ng mga ekspresyon ng mukha at mga kumpas ng kamay kahit na hindi mo marinig ang sinasabi.
neutral,"Mayor Giuliani, along with the Police and Fire commissioners and the OEM director, moved quickly north and established an emergency operations command post at the Police Academy.",More than two dozen people were eventually involved in manning the command post.,"Si Mayor Giuliani, kasama ang mga komisyonado ng Pulisya at Apoy at ang direktor ng OEM, ay mabilis na lumipat pahilaga at nagtatag ng isang emergency operations command post sa Police Academy.",Mahigit na dalawang dosenang tao ang sa wakas ay nasangkot sa pag - uutos.
neutral,"There the scene is less relaxed and the language problem might daunt you, but at least you'll be able to catch a glimpse of Chinese consumer society.",It is a good idea to have a translator with you.,"Doon ang tanawin ay hindi gaanong relaks at ang problema sa wika ay maaaring makasira ng iyong loob, subalit sa paano man ay makikita mo ang lipunan ng mga mamimiling Intsik.",Isang mabuting ideya na magkaroon ng isang tagapagsalin na kasama mo.
neutral,"The Islamist movement, born about 1940, is a product of the modern world, influenced by Marxist-Leninist concepts about revolutionary organization.",The Islamist movement was originally founded as an organization for social mobilization.,"Ang kilusang Islamista, na ipinanganak noong mga 1940, ay isang produkto ng modernong mundo, na naimpluwensiyahan ng mga konseptong Marxista-Leninista tungkol sa organisasyong rebolusyonaryo.",Ang kilusang Islamista ay orihinal na itinatag bilang isang organisasyon para sa pag-uugaling panlipunan.
neutral,"According to Binalshibh, had Bin Ladin and KSM learned prior to 9/11 that Moussaoui had been detained, they might have canceled the operation.",Bin Ladin didn't know the FBI had held Moussaoui.,"Ayon kay Binalshibh, kung nalaman nina Bin Ladin at KSM bago ang 9/11 na si Moussaoui ay ikinulong, maaaring kinansela nila ang operasyon.",Hindi alam ni Bin Ladin na hawak ng FBI ang Moussaoui.
neutral,Most important is the fact that attending a performance at the IRT is not just a field trip.,"In order to fully enjoy a performance at the IRT, you need to pay very hard attention and study the performance and its history beforehand.",Ang pinakamahalaga ay ang bagay na ang pagdalo sa isang pagtatanghal sa IRT ay hindi lamang isang field trip.,"Upang lubusang masiyahan sa isang pagtatanghal sa IRT, kailangan mong magbigay ng matamang pansin at pag - aralan nang patiuna ang pagtatanghal at ang kasaysayan nito."
neutral,C-R functions may also be estimated with or without explicit thresholds.,C-R functions can be estimated a couple different ways and then published for the reader to decide.,Ang mga tungkulin ng C-R ay maaari ring kalkulahin na mayroon o walang maliwanag na mga pagsisimula.,Ang mga tungkulin ng C-R ay maaaring itaya sa mag-asawa ng iba't ibang paraan at pagkatapos ay ilathala upang ang mambabasa ang magpasiya.
neutral,"It would get really big, take us from our beds and never bring us back home  (November 1974).",It was scary when it got really big.,"Ito'y totoong malaki, kukunin kami mula sa aming kama at hinding - hindi kami ibabalik sa bahay (Nobyembre 1974).",Nakakatakot kapag ito'y talagang malaki na.
neutral,"Ah, now, can't ye, indeed?  he cried.",He asked because he was rather shocked about the whole situation.,"Ah, ngayon, hindi baga ninyo tunay na magagawa? siya'y umiyak.",Tinanong niya sapagkat medyo nagitla siya sa buong situwasyon.
neutral,Pundits often say history is written by the winners.,Pundits say people who win the lottery tell history.,Kadalasang sinasabi ni Pundits na ang kasaysayan ay isinulat ng mga nanalo.,Sinasabi ni Pundits na ang mga taong nanalo sa loterya ay nagsasabi ng kasaysayan.
neutral,"John Burke (Alabama) reviews and analyzes other contemporary accounts and finds that Boswell's is not only the most accurate but that he uses it to demonstrate Johnson's character, whereas others were merely retailing literary gossip.",John Burke dislikes Boswell.,"Nirerepaso at sinusuri ni John Burke (Alabama) ang iba pang mga kontemporaryong salaysay at natuklasan na ang Boswell's ay hindi lamang ang pinaka-tumpak kundi ginagamit niya ito upang ipakita ang karakter ni Johnson, samantalang ang iba ay tinibenta lamang ang pampanitikang tsismis.",Hindi nagustuhan ni John Burke si Boswell.
neutral,"Intelligence report, interrogation of detainee, Dec. 2, 2001.","The intelligence report was written up on December 3, 2001.","Intelligence report, interogasyon ng indibidwal, Dis. 2, 2001.","Ang ulat ng katalinuhan ay isinulat noong Disyembre 3, 2001."
neutral,"Special coupons are handed out aggressively on the beaches during the day, in hopes of luring the biggest crowd that night.","Coupons are given out on the beach, hoping for long term customers.","Mapusok na ipinamamahagi ang pantanging mga kupon sa mga dalampasigan sa araw na iyon, sa pag - asang mahikayat ang pinakamaraming tao nang gabing iyon.","Ang mga kuponan ay ibinibigay sa tabing - dagat, umaasa sa matagal nang mga parokyano."
neutral,"The Indianapolis Civic Theatre has entertained her audiences with professionally-produced plays and musicals for 82 years while providing an arena for our city's exceptional talent, but that is certainly not the extent of it.",The Indy Civic Theater has done 120 shows in 80 years.,"Inaliw ng Indianapolis Civic Theatre ang kanyang mga manonood sa pamamagitan ng propesyonal na-produced na mga dula at musikal sa loob ng 82 taon habang nagbibigay ng arena para sa natatanging talento ng ating lungsod, ngunit tiyak na hindi iyan ang lawak nito.",Ang Indy Civic Theater ay nakagawa ng 120 palabas sa loob ng 80 taon.
neutral,"For example, in GGD, a design study was done as a separate job, culminating",The design study was not successful.,"Halimbawa, sa GGD, isang pag - aaral sa disenyo ang ginawa bilang isang hiwalay na trabaho, na umabot sa sukdulan",Hindi naging matagumpay ang pag - aaral ng disenyo.
neutral,The same is true of the sense of nationhood.,The sense of nationhood depends on how well the economy is run.,Totoo rin ito kung tungkol sa diwa ng pagkabansa.,Ang diwa ng pagkabansa ay depende sa kung gaano kahusay tumatakbo ang ekonomiya.
neutral,"Thus, one has a romantic poem written in Latin in which the first line contains the words for man and woman on opposite ends of the line.",The love story depicted in the Latin poem explains the reason for the distance between the man and the women in the middle of the first sentence.,"Kaya, ang isa ay may romantikong tula na nakasulat sa Latin kung saan ang unang taludtod ay naglalaman ng mga salita para sa lalaki at babae sa magkabilang dulo ng linya.",Ang kuwento ng pag-ibig na inilalarawan sa tulang Latin ay nagpapaliwanag ng dahilan ng distansiya sa pagitan ng lalaki at babae sa gitna ng unang pangungusap.
neutral,"Physiological support differs from life support in that he handles the altitude chambers which run pilots up to 80 thousand feet in high altitude chambers, and brings him back down.",Pilots have to be tested in altitude chambers about 20 times a month.,"Ang suportang pisyolohikal ay naiiba mula sa suportang buhay sa bagay na hinahawakan niya ang mga silid sa altitud na nagpapatakbo sa mga piloto hanggang sa 80 libong piye sa matataas na silid, at dinadala siya pabalik.",Ang mga piloto ay kailangang subukin sa mga silid sa altitud mga 20 beses sa isang buwan.
neutral,"The plan should also identify the acquisition method, key go/no-go points, a formal training plan, and a contingency plan to minimize losses.",The plan should also include a budget.,"Dapat ding matukoy ng plano ang paraan ng pagkakamit, mga mahahalagang puntos na go/no-go, isang pormal na plano ng pagsasanay, at isang planong contingensiya upang mabawasan ang mga pagkalugi.",Dapat ding ilakip sa plano ang isang badyet.
neutral,"And then I heard him leave, so I'm still finishing what I had to do.",I'm doing the important jobs that I was assigned this morning.,"Pagkatapos ay narinig ko siyang umalis, kaya tinatapos ko pa rin kung ano ang dapat kong gawin.",Ginagawa ko ang mahahalagang trabaho na iniatas sa akin kaninang umaga.
neutral,yeah it's ours up here we have our rural connections are real bad,The connections around here are sometimes okay.,Nandito na ang mga koneksiyon natin sa mga probinsiya,Ang mga koneksiyon sa paligid dito ay kung minsan okay.
neutral,"By the time he entered his sixties, in 1895, Skeat gave the impression that he was beginning to take these matters a little less",Skeat started to care about different things as he got older.,"Noong pumasok na siya sa kanyang animasyon, noong 1895, nagbigay si Skeat ng impresyon na unti-unti na niyang naisaalang-alang ang mga bagay na ito",Nagsimulang mabahala si Skeat sa iba't ibang bagay habang siya ay tumatanda.
neutral,Riddles are fun and educational as well.,Riddles are very hard to solve.,Ang mga emergency ay nakatutuwa at nakapagtuturo rin.,Napakahirap lutasin ang mga problema.
neutral,I begin life with an endowment of a hundred pears and a thousand apples.,The fruit was given to me by my father.,Ako'y nagsisimulang mabuhay sa pamamagitan ng isang regalo ng isang daang peras at isang libong mansanas.,Ang bunga ay ibinigay sa akin ng aking ama.
neutral,While this is being done prayers are recited.,Prayers are recited while clothes are washed.,Samantalang ito'y ginagawa ang mga panalangin ay binibigkas.,Ang mga panalangin ay binibigkas habang ang mga damit ay hinuhugasan.
neutral,"The English speech is already overburdened with outlandish words that ought never to have been taken in, and ought even now to be turned out.",Experts have identified fifty different words that should not be part of the language.,"Ang pagsasalita sa Ingles ay punung - puno na ng kakatwang mga salita na hindi sana dapat tanggapin, at dapat na ngayon pa lamang mangyari.",Kinilala ng mga dalubhasa ang limampung iba't ibang salita na hindi dapat maging bahagi ng wika.
neutral,"They took Joe with them, and my Granny said, she said it was such a sad time in the house because, you know, everybody was missing Joe and they didn't know what to do.",Joe died and it was really depressing.,"Isinama nila si Joe, at sabi ng aking lola, sinabi niya na ito'y isang napakalungkot na panahon sa bahay sapagkat, alam mo, ang lahat ay nawawala kay Joe at hindi nila alam kung ano ang gagawin.",Namatay si Joe at talagang nakapanlulumo.
neutral,And then once you get everything entered you can go on from there.,You can continue once you enter the information into the database.,At minsang makapasok ka na sa lahat ng bagay ay maaari ka nang magpatuloy mula roon.,Maaari kang magpatuloy minsang ipasok mo ang impormasyon sa database.
neutral,The welfare effects on the mailers who shift are calculated in the same way as in the above section on profits.,They calculate welfare effects quickly on a calculator.,Ang mga epekto ng kapakanan sa mga koreo na nagbabago ay kinakalkula sa katulad na paraan na gaya sa nabanggit na bahagi tungkol sa mga pakinabang.,Mabilis nilang nakalkula ang mga epekto ng kabutihan sa isang labanan.
neutral,"He had been a fortnight in Port Royal, his ship virtually a unit now in the Jamaica squadron.",He was doing repairs on his ship.,"Siya'y naging isang fortnight sa Port Royal, ang kaniyang barko ay halos isang yunit ngayon sa Jamaica squadron.",Kinukumpuni niya ang kaniyang barko.
neutral,His relationship with her remained close throughout his time in the United States.,He had a relationship with an American woman.,Ang kanyang relasyon sa kanya ay nanatiling malapit sa buong panahon niya sa Estados Unidos.,Nagkaroon siya ng relasyon sa isang babaeng Amerikano.
neutral,Hard Put to Find Proof Bin Laden Directed Attacks.,Bin Laden was not involved in directing the attacks.,Mahirap Hanapin ang Patotoo Bin Laden na Tuwirang Sumalakay.,Si Bin Laden ay hindi kasangkot sa pagdidirekta ng mga pag-atake.
