id,sentence1,sentence2,label,sentence1_translated,sentence2_translated
39715,"In 1975 a group of five young photographers ( including Bronson Fellow Christopher Rauschenberg , son of Robert Rauschenberg ) pooled their resources to start a small gallery .","In 1975 , a group of five young photographers ( including Bronson Fellow Christopher Rauschenberg , son of Robert Rauschenberg ) collected their resources to start a small gallery .",1,"Noong 1975, isang grupo ng limang batang litratista (kabilang ang Bronson Fellow na si Christopher Rauschenberg, anak ni Robert Rauschenberg) ang nagsama-sama ng kanilang mga mapagkukunan upang magsimula ng isang maliit na galeriya.","Noong 1975, isang grupo ng limang batang litratista (kabilang ang Bronson Fellow na si Christopher Rauschenberg, anak ni Robert Rauschenberg) ang nagtipon ng kanilang mga mapagkukunan upang magsimula ng isang maliit na galeriya."
23,"In mathematical astronomy , his fame is due to the introduction of the astronomical globe , and his early contributions to understanding the movement of the planets .",His fame is due in mathematical astronomy to the introduction of the astronomical globe and to his early contributions to the understanding of the movement of the planets .,1,"Sa astronomiyang matematikal, ang kanyang katanyagan ay dahil sa pagpapakilala ng globong astronomikal, at sa kanyang mga unang kontribusyon sa pag-unawa sa paggalaw ng mga planeta.",Ang kanyang katanyagan sa matematikal na astronomiya ay dahil sa pagpapakilala ng astronomikal na globo at sa kanyang mga unang kontribusyon sa pag-unawa sa paggalaw ng mga planeta.
24797,"From 1898 to 1902 , about 1,300 birds were imported from America and released from Southland to Northland in many parts of the North and South Islands .","From 1898 to 1902 , some 1300 birds were imported from America and released in many parts of the North and South Islands , from Southland to Northland .",1,"Mula 1898 hanggang 1902, humigit-kumulang 1,300 ibon ang inangkat mula sa Amerika at pinakawalan mula Southland patungong Northland sa maraming bahagi ng North at South Islands.","Mula 1898 hanggang 1902, humigit-kumulang 1300 ibon ang inangkat mula sa Amerika at pinakawalan sa maraming bahagi ng North at South Islands, mula Southland hanggang Northland."
34886,"The five elected candidates were Bahrain , Brazil , Gabon , Gambia and Slovenia .","The five candidates elected were Bahrain , Brazil , Gabon , Gambia , and Slovenia .",1,"Ang limang nahalal na kandidato ay ang Bahrain, Brazil, Gabon, Gambia at Slovenia.","Ang limang kandidatong nahalal ay ang Bahrain, Brazil, Gabon, Gambia, at Slovenia."
4410,The next two functions are analogous to the above two functions and are used for base clusters .,The next two functions are analogous to the above two and are used for base clusters .,1,Ang susunod na dalawang punsiyon ay kahalintulad ng dalawang punsiyon sa itaas at ginagamit para sa mga base cluster.,Ang susunod na dalawang tungkulin ay kahalintulad ng dalawang nabanggit at ginagamit para sa mga base cluster.
9941,The Squadron RAF was a unit of the Royal Air Force in Egypt during the Second World War and then in Italy and North Africa .,651 Squadron RAF was a unit of the Royal Air Force in Egypt during the Second World War and afterwards in Italy and North Africa .,1,Ang Squadron RAF ay isang yunit ng Royal Air Force sa Ehipto noong Ikalawang Digmaang Pandaigdig at pagkatapos ay sa Italya at Hilagang Aprika.,Ang 651 Squadron RAF ay isang yunit ng Royal Air Force sa Ehipto noong Ikalawang Digmaang Pandaigdig at pagkatapos ay sa Italya at Hilagang Aprika.
4704,The 1983 TV movie `` Sam Elliott : The Empty Copper Sea '' starred Travis McGee .,The TV movie 1983 `` Sam Elliott : The Empty Copper Sea '' played Travis McGee .,1,"Ang pelikulang pantelebisyon noong 1983 na ""Sam Elliott: The Empty Copper Sea"" ay pinagbidahan ni Travis McGee.","Ang pelikulang pantelebisyon noong 1983 na ""Sam Elliott: The Empty Copper Sea"" ay gumanap bilang Travis McGee."
43116,"Bentley and carvings by Hugh Stannus , while the meeting room contains a decorative ceiling by Thomas Earp .",Bentley and carvings by Hugh Stannus while the board room contains a decorative ceiling by Thomas Earp .,1,"Bentley at mga inukit ni Hugh Stannus, habang ang silid-pulungan ay naglalaman ng isang pandekorasyon na kisame ni Thomas Earp.",Bentley at mga inukit ni Hugh Stannus habang ang silid-pulungan ay naglalaman ng pandekorasyon na kisame ni Thomas Earp.
39241,"In bioinformatics , inverted indexes are very important in the sequence assembly of short fragments of sequenced DNA .","In bioinformatics , inverted indices in the sequence assembly of short fragments of sequenced DNA are very important .",1,"Sa bioinformatics, ang mga inverted index ay napakahalaga sa sequence assembly ng maiikling fragment ng sequenced DNA.","Sa bioinformatics, napakahalaga ng mga inverted indices sa sequence assembly ng maiikling fragment ng sequenced DNA."
39290,"It is endemic to Hawaii , where it is known only from the northern Koolau Mountains of Oahu .","It is endemic to Hawaii , where it is only known from the northern Koolau Mountains of Oahu .",1,"Ito ay endemik sa Hawaii, kung saan ito ay kilala lamang mula sa hilagang Kabundukan ng Koolau ng Oahu.","Ito ay endemik sa Hawaii, kung saan ito ay kilala lamang mula sa hilagang Kabundukan ng Koolau ng Oahu."
1923,"The album contains 16 tracks recorded during two May 2002 performances , one in Memphis , Tennessee , and the other in Chicago , Illinois .","The album contains 16 tracks recorded during two appearances in May 2002 , one in Memphis , Tennessee , and the other in Chicago , Illinois .",1,"Ang album ay naglalaman ng 16 na track na naitala sa dalawang pagtatanghal noong Mayo 2002, isa sa Memphis, Tennessee, at ang isa pa sa Chicago, Illinois.","Ang album ay naglalaman ng 16 na track na naitala sa dalawang paglabas noong Mayo 2002, isa sa Memphis, Tennessee, at ang isa pa sa Chicago, Illinois."
104,Ruffell was employed as an engineer in Southampton Docks and died on 3 October 1940 in Southampton on his 73rd birthday .,"Ruffell was employed as an engineer in Southampton Docks . He died in Southampton on his 73rd birthday , 3 October 1940 .",1,Si Ruffell ay nagtrabaho bilang isang inhinyero sa Southampton Docks at namatay noong ika-3 ng Oktubre 1940 sa Southampton sa kanyang ika-73 kaarawan.,"Si Ruffell ay nagtrabaho bilang isang inhinyero sa Southampton Docks. Namatay siya sa Southampton noong kanyang ika-73 kaarawan, noong ika-3 ng Oktubre 1940."
22637,The tendered speed limit is generally reduced as low as within the two cities .,"The posted speed limit is generally , reduced as low as within the two cities .",1,Ang itinakdang speed limit ay karaniwang ibinababa nang kasingbaba ng sa loob ng dalawang lungsod.,Ang naka-post na speed limit ay karaniwang binabawasan nang kasingbaba ng sa loob ng dalawang lungsod.
4131,"Adam Ludwik Czartoryski was married to Prince Maria , married on August 31 , 1901 in Warsaw .","Adam Adam Ludwik Czartoryski was married to Prince Maria , who married in Warsaw on 31 August 1901 .",1,"Si Adam Ludwik Czartoryski ay ikinasal kay Prinsipe Maria, na ikinasal noong Agosto 31, 1901 sa Warsaw.","Si Adam Adam Ludwik Czartoryski ay ikinasal kay Prinsipe Maria, na ikinasal sa Warsaw noong 31 Agosto 1901."
38621,"In 1955 , Johannes Herman Johannes married Annie Marie Gilbertine Amalo .",Annie Marie Gilbertine Amalo married Herman Johannes in 1955 .,1,"Noong 1955, pinakasalan ni Johannes Herman Johannes si Annie Marie Gilbertine Amalo.",Pinakasalan ni Annie Marie Gilbertine Amalo si Herman Johannes noong 1955.
4221,"C2c uses Class 357 and Class 387 units on the London , Tilbury and Southend Railway from Shoeburyness and Southend to London Fenchurch Street .","C2c uses Class 357 and Class 387 units on services down the London , Tilbury and Southend Railway line from Shoeburyness and Southend to London Fenchurch Street .",1,"Gumagamit ang C2c ng mga yunit ng Class 357 at Class 387 sa London, Tilbury at Southend Railway mula Shoeburyness at Southend hanggang London Fenchurch Street.","Gumagamit ang C2c ng mga yunit ng Class 357 at Class 387 sa mga serbisyo sa linya ng London, Tilbury at Southend Railway mula Shoeburyness at Southend hanggang London Fenchurch Street."
45606,"In 1958 he spoke throughout East Asia and in Western Europe , and in 1961 in Northern Ghana .",In 1958 he spoke throughout East Asia and Western Europe and in 1961 in Northern Ghana .,1,"Noong 1958, nagsalita siya sa buong Silangang Asya at sa Kanlurang Europa, at noong 1961 sa Hilagang Ghana.","Noong 1958, nagsalita siya sa buong Silangang Asya at Kanlurang Europa at noong 1961 sa Hilagang Ghana."
36703,"In addition , the song `` Calling All Angels '' is included in the film by Jane Siberry and is played on the audio track .","In addition , the song `` Calling All Angels '' by Jane Siberry is included in the film and is played on the soundtrack .",1,"Bukod pa rito, ang kantang ""Calling All Angels"" ay kasama sa pelikula ni Jane Siberry at pinapatugtog sa audio track.","Bukod pa rito, ang kantang ""Calling All Angels"" ni Jane Siberry ay kasama sa pelikula at pinapatugtog sa soundtrack."
5914,"The area was once served by Edinburgh Waverley Railway Station , which provided direct access to the railway to Corstorphine .",The area was once served by Edinburgh Waverley railway station which provided direct railway access to Corstorphine .,1,"Ang lugar ay dating pinaglilingkuran ng Estasyon ng Tren ng Edinburgh Waverley, na nagbigay ng direktang daanan papuntang Corstorphine.",Ang lugar ay dating pinaglilingkuran ng istasyon ng tren ng Edinburgh Waverley na nagbigay ng direktang daanan ng tren papuntang Corstorphine.
18516,Morris Township is located in the 25th Congressional District and is part of the 11th State Legislative District of New Jersey .,Morris Township is located in the 25th Congressional District and is part of New Jersey 's 11th state legislative district .,1,Ang Morris Township ay matatagpuan sa ika-25 Distrito ng Kongreso at bahagi ng ika-11 Distrito ng Lehislatura ng Estado ng New Jersey.,Ang Morris Township ay matatagpuan sa ika-25 Distrito ng Kongreso at bahagi ng ika-11 distrito ng lehislatura ng estado ng New Jersey.
23134,"He died on 24 August 1878 in Wyandotte ( now part of Kansas City ) , Kansas .","He died in Wyandotte ( now a part of Kansas ) , Kansas City , August 24 , 1878 .",1,"Namatay siya noong ika-24 ng Agosto 1878 sa Wyandotte (na ngayon ay bahagi na ng Kansas City), Kansas.","Namatay siya sa Wyandotte (na ngayon ay bahagi na ng Kansas), Kansas City, noong Agosto 24, 1878."
16734,"In the , Daniel Dewey ( F ) resigned February 24 , 1814 and was replaced in a special election by John W. Hulbert ( F )","In Daniel Dewey ( F ) resigned February 24 , 1814 , and was replaced by a special election of John W. Hulbert ( F ) .",1,"Noong , si Daniel Dewey (B) ay nagbitiw noong Pebrero 24, 1814 at pinalitan sa isang espesyal na halalan ni John W. Hulbert (B).","Noong Pebrero 24, 1814, nagbitiw si Daniel Dewey (B). Pinalitan siya ng isang espesyal na halalan ni John W. Hulbert (B)."
5512,ObjecTime Developer ( or ObjecTime or OTD ) is a software automation tool designed to meet the development needs of short-term software development teams .,"ObjecTime Developer ( or ObjecTime or OTD , for real ) is a software automation tool designed to meet the development needs of short-time software development teams .",1,Ang ObjecTime Developer (o ObjecTime o OTD) ay isang software automation tool na idinisenyo upang matugunan ang mga pangangailangan sa pag-develop ng mga panandaliang software development team.,"Ang ObjecTime Developer (o ObjecTime o OTD, sa totoo lang) ay isang software automation tool na idinisenyo upang matugunan ang mga pangangailangan sa pag-develop ng mga panandaliang software development team."
1512,Manipur is also a tourist hotspot in the state of Ukhrul .,Manipur is also a tourist hotspot of Ukhrul state .,1,Ang Manipur ay isa ring lugar na dinadayo ng mga turista sa estado ng Ukhrul.,Ang Manipur ay isa ring lugar na dinarayo ng mga turista sa estado ng Ukhrul.
40859,"Music is in his blood because he inherited this art from his grandfather , Ustad Banne Khan , who is himself a singer .",Music runs in his blood as he has inherited this art from his grandfather Ustad Banne Khan who is a singer himself .,1,"Nasa dugo niya ang musika dahil minana niya ang sining na ito mula sa kanyang lolo, si Ustad Banne Khan, na isa ring mang-aawit.",Nananalaytay sa kanyang dugo ang musika dahil namana niya ang sining na ito mula sa kanyang lolo na si Ustad Banne Khan na isang mang-aawit din.
17094,"Balıklı is a village in the District of Gümüşhacıköy , Amasya Province , Turkey .","Balıklı is a village in the district Gümüşhacıköy , Turkey , province of Amasya .",1,"Ang Balıklı ay isang nayon sa distrito ng Gümüşhacıköy, lalawigan ng Amasya, Turkey.","Ang Balıklı ay isang nayon sa distrito ng Gümüşhacıköy, Turkey, sa lalawigan ng Amasya."
4885,"He was created a doctor of the Sorbonne , and afterwards elected prior of St. Edmund 's in 1689 .","He was created a doctor of the Sorbonne , and later elected Prior of St. Edmund in 1689 .",1,"Siya ay hinirang na isang doktor ng Sorbonne, at pagkatapos ay nahalal na prior ng St. Edmund's noong 1689.","Siya ay ginawang doktor ng Sorbonne, at kalaunan ay nahalal na Prior ng San Edmund noong 1689."
6317,"The new year , the spring , the wine and the joyful are also loved .","Also , The new year , the spring , the wine and the joyful are beloved .",1,"Minamahal din ang bagong taon, ang tagsibol, ang alak at ang masasaya.","Gayundin, ang bagong taon, ang tagsibol, ang alak at ang masasaya ay minamahal."
38138,In the 1970s Suzuki was one of the first buyers of Woolrich fashion in Japan . In 2006 he became a designer for Woolrich Woolen Mills in America .,In the 1970s Suzuki was one of the first buyers of Woolrich Mode in Japan and became Designer for Woolrich Woolen Mills in America in 2006 .,1,"Noong dekada 1970, isa si Suzuki sa mga unang mamimili ng Woolrich fashion sa Japan. Noong 2006, naging taga-disenyo siya para sa Woolrich Woolen Mills sa Amerika.","Noong dekada 1970, isa si Suzuki sa mga unang bumili ng Woolrich Mode sa Japan at naging Disenyador para sa Woolrich Woolen Mills sa Amerika noong 2006."
15523,"An alternative extension to compact groups is the Peter -- Weyl theorem , which proves results about representations of compact groups analogous to those about finite groups .","An alternative extension to compact groups is the Peter -- Weyl -- Theorem , which shows results about representations of compact groups analogous to those about finite groups .",1,"Ang alternatibong pagpapalawig sa mga compact group ay ang Peter -- Weyl theorem, na nagpapatunay ng mga resulta tungkol sa mga representasyon ng mga compact group na kahalintulad ng mga resulta tungkol sa mga finite group.","Ang isang alternatibong ekstensyon sa mga compact group ay ang Peter -- Weyl -- Theorem, na nagpapakita ng mga resulta tungkol sa mga representasyon ng mga compact group na kahalintulad ng mga resulta tungkol sa mga finite group."
48700,"In order to obtain a biomarker for diagnostics , the sample material must be as easy to use as possible .","In order to obtain a biomarker for diagnostics , the sample material must be as simple as possible to use .",1,"Upang makakuha ng biomarker para sa mga diagnostic, ang materyal ng sample ay dapat na madaling gamitin hangga't maaari.","Upang makakuha ng biomarker para sa mga diagnostic, ang materyal na sample ay dapat na kasing simple hangga't maaari gamitin."
8725,Protein FAM40A is a protein that is located on chromosome 1 in humans and is encoded by the `` FAM40A '' gene .,FAM40A is a protein that is chromosome 1 in humans and is encoded by the `` FAM40A '' gene .,1,"Ang protina na FAM40A ay isang protina na matatagpuan sa chromosome 1 sa mga tao at naka-encode ng gene na ""FAM40A"".","Ang FAM40A ay isang protina na nasa chromosome 1 sa mga tao at naka-encode ng gene na ""FAM40A""."
23582,The screenplay by Robert Carrington and Jane-Howard Carrington is based on the 1966 play by Frederick Knott .,The screenplay by Robert Carrington and Jane - Howard Carrington is based on the 1966 play by Frederick Knott .,1,Ang iskrip nina Robert Carrington at Jane-Howard Carrington ay batay sa dulang isinulat ni Frederick Knott noong 1966.,Ang iskrip nina Robert Carrington at Jane-Howard Carrington ay batay sa dulang isinulat ni Frederick Knott noong 1966.
29849,"For scalar spectral fluctuations , formula _ 9 is referred to as the scalar index , with formula _ 10 corresponding to scale invariant fluctuations .","For scalar spectral fluctuations , Formula 9 is referred to as the scalar index , with the formula 10 corresponding to scalar invariant fluctuations .",1,"Para sa mga scalar spectral fluctuations, ang formula _9 ay tinutukoy bilang scalar index, na may formula _10 na tumutugma sa scale invariant fluctuations.","Para sa mga scalar spectral fluctuations, ang Formula 9 ay tinutukoy bilang scalar index, kung saan ang formula 10 ay tumutugma sa mga scalar invariant fluctuations."
21573,"Kerwin Moore would see action in 24 games for the Athletics that fall , and was traded to the Florida Marlins after the season in exchange for Abbott .","Kerwin Moore saw action in 24 games for the athletics that fall , and was traded to the Florida - Marlins after the season in exchange for Abbott .",1,"Si Kerwin Moore ay makakalaro sa 24 na laro para sa Athletics sa mga huling araw ng taglagas, at ipinagpalit sa Florida Marlins pagkatapos ng season kapalit ni Abbott.","Si Kerwin Moore ay naglaro sa 24 na laro para sa athletics noong taglagas, at ipinagpalit sa Florida-Marlins pagkatapos ng season kapalit ni Abbott."
36465,"Dorchester is sometimes associated with Avenue D , since Ditmas and Ditmas Avenue and Dorchester Road start with the letter `` D '' .","Dorchester are sometimes associated with Avenue D , since Ditmas and Ditmas Avenue and Dorchester Road start with the letter `` D '' .",1,"Ang Dorchester ay minsang iniuugnay sa Avenue D, dahil ang Ditmas at Ditmas Avenue at Dorchester Road ay nagsisimula sa letrang ""D"".","Ang Dorchester ay minsang iniuugnay sa Avenue D, dahil ang Ditmas at Ditmas Avenue at Dorchester Road ay nagsisimula sa letrang ""D""."
27861,"The Russian villain is , however , an original and sometimes interesting danger .","The Russian villain , however , is an original and sometimes interesting menace. ``",1,"Gayunpaman, ang kontrabidang Ruso ay isang orihinal at kung minsan ay kawili-wiling panganib.","Gayunpaman, ang kontrabida na Ruso ay isang orihinal at kung minsan ay kawili-wiling banta."
19223,It was believed that true philosophy could be separated from popular wisdom by this method .,It was believed by this method true philosophy could be separated from popular wisdom .,1,Pinaniniwalaan na ang tunay na pilosopiya ay maaaring ihiwalay mula sa karunungang popular sa pamamagitan ng pamamaraang ito.,Pinaniniwalaang sa pamamagitan ng pamamaraang ito ay maaaring ihiwalay ang tunay na pilosopiya mula sa karunungang popular.
46127,"He sang with success also at La Fenice in Naples , at the Maggio Musicale Fiorentino in Florence and at the Teatro San Carlo in Venice .","He also sang with success at La Fenice in Naples , the Maggio Musicale Fiorentino in Florence , and the Teatro San Carlo in Venice .",1,"Matagumpay din siyang umawit sa La Fenice sa Naples, sa Maggio Musicale Fiorentino sa Florence at sa Teatro San Carlo sa Venice.","Matagumpay din siyang umawit sa La Fenice sa Naples, sa Maggio Musicale Fiorentino sa Florence, at sa Teatro San Carlo sa Venice."
3785,He is a professor of adult education at Åbo Akademi University in Finland ( Vaasa ) .,"He is a Professor of Adult Education at Åbo Akademi University in Vaasa , Finland .",1,Siya ay isang propesor ng edukasyon para sa mga nasa hustong gulang sa Åbo Akademi University sa Finland (Vaasa).,"Siya ay isang Propesor ng Edukasyon para sa mga Nasa Hustong Gulang sa Åbo Akademi University sa Vaasa, Finland."
6714,It was created with the redistribution in 1972 and replaced the abolished Toowoomba East .,"It was created with the 1972 redistribution , and replaced the abolished Toowoomba East .",1,Ito ay nilikha kasabay ng muling pamamahagi noong 1972 at pinalitan ang inalis na Toowoomba East.,"Ito ay nilikha kasabay ng muling pamamahagi noong 1972, at pinalitan ang inalis na Toowoomba East."
47971,"`` , Williams turned heel and reformed the British Invasion with Magnus by attacking the team of Eric Young and Orlando Jordan .",Williams turned the heel and reformed the British invasion with Magnus by attacking the Eric Young and Orlando Jordan team .,1,"``, Tumalikod si Williams at binago ang British Invasion kasama si Magnus sa pamamagitan ng pag-atake sa koponan nina Eric Young at Orlando Jordan.",Binaligtad ni Williams ang sakong at binago ang pagsalakay ng mga Briton kasama si Magnus sa pamamagitan ng pag-atake sa koponan nina Eric Young at Orlando Jordan.
3891,"Shaffer Creek is an tributary of Raystown Branch Juniata River ( Brush Creek ) in Bedford County , Pennsylvania in the United States .","Shaffer Creek is a tributary of the Raystown Branch Juniata River ( Brush Creek ) in Bedford County , Pennsylvania , United States .",1,"Ang Shaffer Creek ay isang sanga ng Ilog Juniata ng Raystown Branch (Brush Creek) sa Bedford County, Pennsylvania sa Estados Unidos.","Ang Shaffer Creek ay isang sanga ng Ilog Raystown Branch Juniata (Brush Creek) sa Bedford County, Pennsylvania, Estados Unidos."
2661,"He was survived by his wife , former Barbara Crutchley , his sons Norman F. Boas and Donald P. Boas and his daughter , Helen Tuthill Sisson .","He was survived by his wife , the former Barbara Crutchley , his sons Norman F. Boas and Donald P. Boas , and his daughter Helen Tuthill Sisson .",1,"Naulila niya ang kanyang asawa, ang dating Barbara Crutchley, ang kanyang mga anak na sina Norman F. Boas at Donald P. Boas at ang kanyang anak na babae, si Helen Tuthill Sisson.","Naulila niya ang kanyang asawa, ang dating Barbara Crutchley, ang kanyang mga anak na sina Norman F. Boas at Donald P. Boas, at ang kanyang anak na si Helen Tuthill Sisson."
32792,"In 1992 , he was elected Croydon North West for the first time after having previously denied the seat unsuccessfully in 1987 .",He was first elected in 1992 for Croydon North West after having previously contested the seat unsuccessfully in 1987 .,1,"Noong 1992, siya ay nahalal sa Croydon North West sa unang pagkakataon matapos siyang hindi matagumpay na mapili sa puwesto noong 1987.",Una siyang nahalal noong 1992 para sa Croydon North West matapos siyang hindi matagumpay na lumaban sa puwesto noong 1987.
1941,"Farrer was born in London , the younger brother of Thomas Charles Farrer , an artist .","Farrer was born in London , the younger brother of artist Thomas Charles Farrer .",1,"Si Farrer ay ipinanganak sa London, ang nakababatang kapatid ni Thomas Charles Farrer, isang artista.","Si Farrer ay ipinanganak sa London, ang nakababatang kapatid ng artistang si Thomas Charles Farrer."
323,He also wrote a large number of vocal arrangements and orchestral accompaniments to varieties .,He also wrote a large number of vocal arrangements and orchestral accompaniments for varieties .,1,Sumulat din siya ng maraming kaayusan ng boses at mga akmang orkestra para sa mga barayti.,Sumulat din siya ng maraming kaayusan ng boses at mga akmang orkestra para sa mga barayti.
42408,"Eileen Chong was born in Singapore in 1980 , moved to Sydney in 2007 .","Eileen Chong was born in 1980 in Singapore . She moved to Sydney , Australia in 2007 .",1,"Si Eileen Chong ay ipinanganak sa Singapore noong 1980, lumipat sa Sydney noong 2007.","Si Eileen Chong ay ipinanganak noong 1980 sa Singapore. Lumipat siya sa Sydney, Australia noong 2007."
39,"He was born in New York City in East Broadway on October 23 , 1806 .","He was born on 23 October 1806 in New York , East Broadway .",1,"Siya ay ipinanganak sa New York City sa East Broadway noong Oktubre 23, 1806.","Siya ay isinilang noong ika-23 ng Oktubre 1806 sa New York, East Broadway."
45491,"A market was perceived for future tours and destinations , Scandinavia followed in April 1975 and in September followed another tour to Switzerland .",A market was perceived for future tours and destinations . Scandinavia followed in April 1975 and there was another tour to Switzerland in September .,1,"Isang merkado ang nakita para sa mga susunod na paglilibot at destinasyon, sumunod ang Scandinavia noong Abril 1975 at noong Setyembre ay sumunod ang isa pang paglilibot sa Switzerland.",Isang merkado ang nakita para sa mga susunod na paglilibot at destinasyon. Sumunod ang Scandinavia noong Abril 1975 at nagkaroon ng isa pang paglilibot sa Switzerland noong Setyembre.
17394,Homer Township was established by a division of Albion Township in 1837 .,Homer Township was founded in 1837 by a division of Albion Township .,1,Ang Homer Township ay itinatag ng isang dibisyon ng Albion Township noong 1837.,Ang Homer Township ay itinatag noong 1837 ng isang dibisyon ng Albion Township.
39888,"Inception is a science fiction film from 2010 , co-produced by Emma Thomas and written , co-produced and staged by Christopher Nolan .","Inception is a science fiction film from 2010 , written , co-produced and staged by Christopher Nolan and co-produced by Emma Thomas .",1,"Ang Inception ay isang pelikulang science fiction mula 2010, na co-produced ni Emma Thomas at isinulat, co-produced at itinanghal ni Christopher Nolan.","Ang Inception ay isang pelikulang science fiction mula 2010, isinulat, co-produced, at itinanghal ni Christopher Nolan at co-produced ni Emma Thomas."
39077,"He was likely the son of the painter Girolamo Danti , also from Pesaro , who had married the sister of the painter Giovanni Antonio Pandolfi .","He was probably the son of painter Girolamo Danti , also from Pesaro who married the sister of the painter Giovanni Antonio Pandolfi .",1,"Malamang na anak siya ng pintor na si Girolamo Danti, na taga-Pesaro rin, na nagpakasal sa kapatid ng pintor na si Giovanni Antonio Pandolfi.","Malamang na anak siya ng pintor na si Girolamo Danti, na taga-Pesaro rin na nagpakasal sa kapatid ng pintor na si Giovanni Antonio Pandolfi."
