id,sentence1,sentence2,label,sentence_1_form,sentence_2_form
39715,"Noong 1975, isang grupo ng limang batang photographer (kabilang ang Bronson Fellow na si Christopher Rauschenberg, anak ni Robert Rauschenberg) ay pinagsama ang kanilang mga mapagkukunan upang magsimula ng isang maliit na gallery.","Noong 1975, isang grupo ng limang batang litratista (kabilang ang Bronson Fellow na si Christopher Rauschenberg, anak ni Robert Rauschenberg) ang nagtipon ng kanilang mga mapagkukunan upang magsimula ng isang maliit na galeriya.",1,0,1
23,"Sa astronomiyang matematikal, ang kanyang katanyagan ay dahil sa pagpapakilala ng globong astronomikal, at sa kanyang mga unang kontribusyon sa pag-unawa sa paggalaw ng mga planeta.",Ang kanyang katanyagan sa matematikal na astronomiya ay dahil sa pagpapakilala ng astronomikal na globo at sa kanyang mga unang kontribusyon sa pag-unawa sa paggalaw ng mga planeta.,1,0,0
24797,"Mula 1898 hanggang 1902, humigit-kumulang 1,300 ibon ang inangkat mula sa Amerika at pinakawalan mula Southland patungong Northland sa maraming bahagi ng North at South Islands.","Mula 1898 hanggang 1902, humigit-kumulang 1300 ibon ang inangkat mula sa Amerika at pinakawalan sa maraming bahagi ng North at South Islands, mula Southland hanggang Northland.",1,1,1
34886,"Ang limang nahalal na kandidato ay ang Bahrain , Brazil , Gabon , Gambia at Slovenia .","Ang limang kandidatong nahalal ay ang Bahrain, Brazil, Gabon, Gambia, at Slovenia.",1,0,0
4410,Ang susunod na dalawang function ay kahalintulad sa dalawang function sa itaas at ginagamit para sa mga base cluster.,Ang susunod na dalawang tungkulin ay kahalintulad ng dalawang nabanggit at ginagamit para sa mga base cluster.,1,0,0
9941,Ang Squadron RAF ay isang yunit ng Royal Air Force sa Egypt noong Ikalawang Digmaang Pandaigdig at pagkatapos ay sa Italya at Hilagang Africa.,Ang 651 Squadron RAF ay isang yunit ng Royal Air Force sa Ehipto noong Ikalawang Digmaang Pandaigdig at pagkatapos ay sa Italya at Hilagang Aprika.,1,0,0
4704,"Ang pelikulang pantelebisyon noong 1983 na ""Sam Elliott: The Empty Copper Sea"" ay pinagbidahan ni Travis McGee.","Ang pelikulang pantelebisyon noong 1983 na ""Sam Elliott: The Empty Copper Sea"" ay gumanap bilang Travis McGee.",1,0,0
43116,"Bentley at mga inukit ni Hugh Stannus, habang ang silid-pulungan ay naglalaman ng isang pandekorasyon na kisame ni Thomas Earp.",Bentley at mga inukit ni Hugh Stannus habang ang silid-pulungan ay naglalaman ng pandekorasyon na kisame ni Thomas Earp.,1,0,0
39241,"Sa bioinformatics, ang mga inverted index ay napakahalaga sa sequence assembly ng maikling fragment ng sequenced DNA.","Sa bioinformatics, napakahalaga ng mga inverted indices sa sequence assembly ng maiikling fragment ng sequenced DNA.",1,0,1
39290,"Ito ay endemic sa Hawaii, kung saan ito ay kilala lamang mula sa hilagang Koolau Mountains ng Oahu.","Ito ay endemik sa Hawaii, kung saan ito ay kilala lamang mula sa hilagang Kabundukan ng Koolau ng Oahu.",1,0,0
1923,"Ang album ay naglalaman ng 16 na mga track na naitala noong dalawang May 2002 na pagtatanghal, isa sa Memphis, Tennessee, at ang isa sa Chicago, Illinois.","Ang album ay naglalaman ng 16 na track na naitala sa dalawang paglabas noong Mayo 2002, isa sa Memphis, Tennessee, at ang isa pa sa Chicago, Illinois.",1,0,0
104,Si Ruffell ay nagtrabaho bilang isang inhinyero sa Southampton Docks at namatay noong ika-3 ng Oktubre 1940 sa Southampton sa kanyang ika-73 kaarawan.,"Si Ruffell ay nagtrabaho bilang isang inhinyero sa Southampton Docks. Namatay siya sa Southampton noong kanyang ika-73 kaarawan, noong ika-3 ng Oktubre 1940.",1,0,0
22637,Ang itinakdang speed limit ay karaniwang ibinababa nang kasingbaba ng sa loob ng dalawang lungsod.,Ang naka-post na speed limit ay karaniwang binabawasan nang kasingbaba ng sa loob ng dalawang lungsod.,1,0,0
4131,"Si Adam Ludwik Czartoryski ay ikinasal kay Prinsipe Maria, na ikinasal noong Agosto 31, 1901 sa Warsaw.","Si Adam Adam Ludwik Czartoryski ay ikinasal kay Prinsipe Maria, na ikinasal sa Warsaw noong 31 Agosto 1901.",1,0,0
38621,"Noong 1955, pinakasalan ni Johannes Herman Johannes si Annie Marie Gilbertine Amalo.",Pinakasalan ni Annie Marie Gilbertine Amalo si Herman Johannes noong 1955.,1,1,1
4221,"Gumagamit ang C2c ng mga yunit ng Class 357 at Class 387 sa London, Tilbury at Southend Railway mula Shoeburyness at Southend hanggang London Fenchurch Street.","Gumagamit ang C2c ng mga yunit ng Class 357 at Class 387 sa mga serbisyo sa linya ng London, Tilbury at Southend Railway mula Shoeburyness at Southend hanggang London Fenchurch Street.",1,1,1
45606,"Noong 1958 nagsalita siya sa buong Silangang Asya at sa Kanlurang Europa, at noong 1961 sa Hilagang Ghana.","Noong 1958, nagsalita siya sa buong Silangang Asya at Kanlurang Europa at noong 1961 sa Hilagang Ghana.",1,1,1
36703,"Bukod pa rito, ang kantang ""Calling All Angels"" ay kasama sa pelikula ni Jane Siberry at pinapatugtog sa audio track.","Bukod pa rito, ang kantang ""Calling All Angels"" ni Jane Siberry ay kasama sa pelikula at pinapatugtog sa soundtrack.",1,0,0
5914,"Ang lugar ay dating pinaglilingkuran ng Estasyon ng Tren ng Edinburgh Waverley, na nagbigay ng direktang daanan papuntang Corstorphine.",Ang lugar ay dating pinaglilingkuran ng istasyon ng tren ng Edinburgh Waverley na nagbigay ng direktang daanan ng tren papuntang Corstorphine.,1,0,0
18516,Ang Morris Township ay matatagpuan sa ika-25 Distrito ng Kongreso at bahagi ng ika-11 Distrito ng Lehislatura ng Estado ng New Jersey.,Ang Morris Township ay matatagpuan sa ika-25 Distrito ng Kongreso at bahagi ng ika-11 distrito ng lehislatura ng estado ng New Jersey.,1,0,0
23134,"Namatay siya noong ika-24 ng Agosto 1878 sa Wyandotte (na ngayon ay bahagi na ng Kansas City), Kansas.","Namatay siya sa Wyandotte (na ngayon ay bahagi na ng Kansas), Kansas City, noong Agosto 24, 1878.",1,0,0
16734,"Sa , si Daniel Dewey ( F ) ay nagbitiw noong Pebrero 24 , 1814 at pinalitan sa isang espesyal na halalan ni John W. Hulbert ( F )","Noong Pebrero 24, 1814, nagbitiw si Daniel Dewey (B). Pinalitan siya ng isang espesyal na halalan ni John W. Hulbert (B).",1,0,1
5512,Ang ObjecTime Developer (o ObjecTime o OTD) ay isang software automation tool na idinisenyo upang matugunan ang mga pangangailangan sa pag-develop ng mga panandaliang software development team.,"Ang ObjecTime Developer (o ObjecTime o OTD, sa totoo lang) ay isang software automation tool na idinisenyo upang matugunan ang mga pangangailangan sa pag-develop ng mga panandaliang software development team.",1,0,0
1512,Ang Manipur ay isa ring tourist hotspot sa estado ng Ukhrul.,Ang Manipur ay isa ring lugar na dinarayo ng mga turista sa estado ng Ukhrul.,1,0,0
40859,"Nasa dugo niya ang musika dahil minana niya ang sining na ito mula sa kanyang lolo, si Ustad Banne Khan, na isa ring mang-aawit.",Nananalaytay sa kanyang dugo ang musika dahil namana niya ang sining na ito mula sa kanyang lolo na si Ustad Banne Khan na isang mang-aawit din.,1,1,1
17094,"Ang Balıklı ay isang nayon sa distrito ng Gümüşhacıköy, lalawigan ng Amasya, Turkey.","Ang Balıklı ay isang nayon sa distrito ng Gümüşhacıköy, Turkey, sa lalawigan ng Amasya.",1,0,0
4885,"Siya ay nilikha ng isang doktor ng Sorbonne, at pagkatapos ay inihalal bago ng St. Edmund's sa 1689.","Siya ay ginawang doktor ng Sorbonne, at kalaunan ay nahalal na Prior ng San Edmund noong 1689.",1,0,0
6317,"Ang bagong taon, ang tagsibol, ang alak at ang kagalakan ay minamahal din.","Gayundin, ang bagong taon, ang tagsibol, ang alak at ang masasaya ay minamahal.",1,0,0
38138,Noong 1970s si Suzuki ay isa sa mga unang bumibili ng Woolrich fashion sa Japan. Noong 2006 siya ay naging isang taga-disenyo para sa Woolrich Woolen Mills sa Amerika.,"Noong dekada 1970, isa si Suzuki sa mga unang bumili ng Woolrich Mode sa Japan at naging Disenyador para sa Woolrich Woolen Mills sa Amerika noong 2006.",1,0,1
15523,"Ang isang alternatibong extension sa mga compact na grupo ay ang Peter -- Weyl theorem , na nagpapatunay ng mga resulta tungkol sa mga representasyon ng mga compact na grupo na kahalintulad sa mga tungkol sa finite groups .","Ang isang alternatibong ekstensyon sa mga compact group ay ang Peter -- Weyl -- Theorem, na nagpapakita ng mga resulta tungkol sa mga representasyon ng mga compact group na kahalintulad ng mga resulta tungkol sa mga finite group.",1,0,0
48700,"Upang makakuha ng biomarker para sa mga diagnostic, ang sample na materyal ay dapat na madaling gamitin hangga't maaari.","Upang makakuha ng biomarker para sa mga diagnostic, ang materyal na sample ay dapat na kasing simple hangga't maaari gamitin.",1,0,0
8725,Ang Protein FAM40A ay isang protina na matatagpuan sa chromosome 1 sa mga tao at naka-encode ng `` FAM40A '' gene .,"Ang FAM40A ay isang protina na nasa chromosome 1 sa mga tao at naka-encode ng gene na ""FAM40A"".",1,0,0
23582,Ang iskrip nina Robert Carrington at Jane-Howard Carrington ay batay sa dulang isinulat ni Frederick Knott noong 1966.,Ang iskrip nina Robert Carrington at Jane-Howard Carrington ay batay sa dulang isinulat ni Frederick Knott noong 1966.,1,0,0
29849,"Para sa mga scalar spectral fluctuations, ang formula _9 ay tinutukoy bilang scalar index, na may formula _10 na tumutugma sa scale invariant fluctuations.","Para sa mga scalar spectral fluctuations, ang Formula 9 ay tinutukoy bilang scalar index, kung saan ang formula 10 ay tumutugma sa mga scalar invariant fluctuations.",1,0,0
21573,"Makakakita si Kerwin Moore ng aksyon sa 24 na laro para sa Athletics na bumagsak, at ipinagpalit sa Florida Marlins pagkatapos ng season kapalit ng Abbott.","Si Kerwin Moore ay naglaro sa 24 na laro para sa athletics noong taglagas, at ipinagpalit sa Florida-Marlins pagkatapos ng season kapalit ni Abbott.",1,1,0
36465,"Ang Dorchester ay minsang iniuugnay sa Avenue D, dahil ang Ditmas at Ditmas Avenue at Dorchester Road ay nagsisimula sa letrang ""D"".","Ang Dorchester ay minsang iniuugnay sa Avenue D, dahil ang Ditmas at Ditmas Avenue at Dorchester Road ay nagsisimula sa letrang ""D"".",1,0,0
27861,"Ang Russian kontrabida ay, gayunpaman, isang orihinal at kung minsan ay kawili-wiling panganib.","Gayunpaman, ang kontrabida na Ruso ay isang orihinal at kung minsan ay kawili-wiling banta.",1,0,0
19223,Pinaniniwalaan na ang tunay na pilosopiya ay maaaring ihiwalay mula sa karunungang popular sa pamamagitan ng pamamaraang ito.,Pinaniniwalaang sa pamamagitan ng pamamaraang ito ay maaaring ihiwalay ang tunay na pilosopiya mula sa karunungang popular.,1,0,0
46127,"Tagumpay din siyang kumanta sa La Fenice sa Naples, sa Maggio Musicale Fiorentino sa Florence at sa Teatro San Carlo sa Venice.","Matagumpay din siyang umawit sa La Fenice sa Naples, sa Maggio Musicale Fiorentino sa Florence, at sa Teatro San Carlo sa Venice.",1,1,1
3785,Siya ay isang propesor ng edukasyon para sa mga nasa hustong gulang sa Åbo Akademi University sa Finland (Vaasa).,"Siya ay isang Propesor ng Edukasyon para sa mga Nasa Hustong Gulang sa Åbo Akademi University sa Vaasa, Finland.",1,0,0
6714,Ito ay nilikha sa muling pamamahagi noong 1972 at pinalitan ang inalis na Toowoomba East.,"Ito ay nilikha kasabay ng muling pamamahagi noong 1972, at pinalitan ang inalis na Toowoomba East.",1,0,0
47971,"``, si Williams ay tumalikod at binago ang British Invasion kasama si Magnus sa pamamagitan ng pag-atake sa koponan nina Eric Young at Orlando Jordan.",Binaligtad ni Williams ang sakong at binago ang pagsalakay ng mga Briton kasama si Magnus sa pamamagitan ng pag-atake sa koponan nina Eric Young at Orlando Jordan.,1,0,1
3891,"Ang Shaffer Creek ay isang sanga ng Ilog Juniata ng Raystown Branch (Brush Creek) sa Bedford County, Pennsylvania sa Estados Unidos.","Ang Shaffer Creek ay isang sanga ng Ilog Raystown Branch Juniata (Brush Creek) sa Bedford County, Pennsylvania, Estados Unidos.",1,0,0
2661,"Naulila niya ang kanyang asawa, ang dating Barbara Crutchley, ang kanyang mga anak na sina Norman F. Boas at Donald P. Boas at ang kanyang anak na babae, si Helen Tuthill Sisson.","Naulila niya ang kanyang asawa, ang dating Barbara Crutchley, ang kanyang mga anak na sina Norman F. Boas at Donald P. Boas, at ang kanyang anak na si Helen Tuthill Sisson.",1,1,1
32792,"Noong 1992, siya ay nahalal sa Croydon North West sa unang pagkakataon matapos na dati nang hindi matagumpay na tinanggihan ang puwesto noong 1987.",Una siyang nahalal noong 1992 para sa Croydon North West matapos siyang hindi matagumpay na lumaban sa puwesto noong 1987.,1,0,1
1941,"Si Farrer ay ipinanganak sa London, ang nakababatang kapatid ni Thomas Charles Farrer, isang pintor.","Si Farrer ay ipinanganak sa London, ang nakababatang kapatid ng artistang si Thomas Charles Farrer.",1,0,0
323,Sumulat din siya ng isang malaking bilang ng mga vocal arrangement at orchestral accompaniments sa mga varieties.,Sumulat din siya ng maraming kaayusan ng boses at mga akmang orkestra para sa mga barayti.,1,1,1
42408,"Si Eileen Chong ay ipinanganak sa Singapore noong 1980, lumipat sa Sydney noong 2007.","Si Eileen Chong ay ipinanganak noong 1980 sa Singapore. Lumipat siya sa Sydney, Australia noong 2007.",1,0,0
39,"Siya ay ipinanganak sa New York City sa East Broadway noong Oktubre 23 , 1806 .","Siya ay isinilang noong ika-23 ng Oktubre 1806 sa New York, East Broadway.",1,0,0
45491,"Isang merkado ang nakita para sa mga susunod na paglilibot at destinasyon, sumunod ang Scandinavia noong Abril 1975 at noong Setyembre ay sumunod ang isa pang paglilibot sa Switzerland.",Isang merkado ang nakita para sa mga susunod na paglilibot at destinasyon. Sumunod ang Scandinavia noong Abril 1975 at nagkaroon ng isa pang paglilibot sa Switzerland noong Setyembre.,1,0,1
17394,Ang Homer Township ay itinatag ng isang dibisyon ng Albion Township noong 1837.,Ang Homer Township ay itinatag noong 1837 ng isang dibisyon ng Albion Township.,1,0,0
39888,"Ang Inception ay isang science fiction na pelikula mula 2010, na co-produce ni Emma Thomas at isinulat, co-produced at itinanghal ni Christopher Nolan.","Ang Inception ay isang pelikulang science fiction mula 2010, isinulat, co-produced, at itinanghal ni Christopher Nolan at co-produced ni Emma Thomas.",1,0,0
39077,"Siya ay malamang na anak ng pintor na si Girolamo Danti, mula rin sa Pesaro, na nagpakasal sa kapatid ng pintor na si Giovanni Antonio Pandolfi.","Malamang na anak siya ng pintor na si Girolamo Danti, na taga-Pesaro rin na nagpakasal sa kapatid ng pintor na si Giovanni Antonio Pandolfi.",1,0,1
34073,"Nanalo ang Portsmouth ng 4-1, sa tulong ng mga goal nina Bert Barlow, John Anderson at dalawa mula kay Cliff Parker.","Nanalo ang Portsmouth ng 4-1, sa pamamagitan ng mga gol nina Bert Barlow, John Anderson at dalawa ni Cliff Parker.",1,1,1
31963,"Ang 8 taluka ng distritong ito ay ang Devgad, Kankavli, Malvan, Kudal, Sawantwadi, Vengurla at Dodamarg at Vaibhavwadi.","Ang 8 Talukas ng lugar na ito ay ang Devgad, Kankavli, Malvan, Kudal, Sawantwadi, Vengurla at Dodamarg at Vaibhavwadi.",1,0,0
9931,Ang Dowa ay isang distrito sa Gitnang Rehiyon ng Malawi. Ang kabisera ay Dowa.,Ang Dowa ay isang distrito sa gitnang rehiyon ng Malawi na may kabisera na Dowa.,1,0,0
6905,Ang NFL Europe League season 1999 ay ang ikalimang season para sa franchise sa Rhine Fire ( NFLEL ) .,Ang 1999 NFL Europe League season ay ang ikalimang season para sa franchise sa Rhein Fire (NFLEL).,1,0,0
42181,Naglaro si Dunne sa Dublin kasama si Stella Maris bago naglaro sa England para sa Everton.,Naglaro siya kasama si Stella Maris sa Dublin bago naglaro para sa Everton sa England.,1,1,1
2457,"Ang 1962 U.S. United States Senate election ay ginanap noong Nobyembre 6, 1962 upang piliin ang South Carolina.","Ang halalan sa Senado ng Estados Unidos noong 1962 ay ginanap noong Nobyembre 6, 1962 upang piliin ang South Carolina.",1,0,0
27816,"Noong Pebrero 2016, inanunsyo na si Steve Poizner ay sasama kay Gobernador John Kasich ng Ohio bilang National Co Chairman at California State Chairman para sa Kasich bilang Pangulo.","Noong Pebrero 2016, inanunsyo na si Steve Poizner ay sasama kay Gobernador John Kasich ng Ohio bilang National Co Chairman at California State Chairman para sa Kasich para sa pagka-Presidente.",1,0,0
5136,Si Mark Williams ay ginampanan sa serye sa TV ni Olaf Petersen.,Si Mark Williams ay ginagampanan ni Olaf Petersen sa seryeng pantelebisyon.,1,0,0
17535,"Sa bandang huli ng buhay, naging isa si Toth sa matalik na kaibigan ni Procopio.","Kalaunan sa buhay, si Toth ay naging isa sa mga matalik na kaibigan ni Procopio.",1,1,0
33988,"Gayunpaman, kalaunan ay nasugatan si Grossman sa season, at pansamantalang hinalinhan ni Griese.","Gayunpaman, nasugatan si Grossman sa huling bahagi ng season at pansamantalang naalis sa puwesto ni Griese.",1,0,1
353,Hindi kinakailangan ang mahaba o kinakailangang pag-aaral ng mga apprenticeship upang matutunan ang mga mahirap na pamamaraan.,Hindi kinakailangan ang mahaba o kinakailangang pagsasanay upang matutunan ang mga mahirap na pamamaraan.,1,1,1
26267,"Kasama sa kanyang mga pamangkin ang mga aktor na sina Nikhil Nanda at Armaan Jain, at ang negosyanteng si Ranbir Kapoor.",Kabilang sa kanyang mga pamangkin ang mga aktor na sina Nikhil Nanda at Armaan Jain at ang negosyanteng si Ranbir Kapoor.,1,1,1
1548,Ang pelikula ay kinunan ng larawan ni Rajiv Menon at inedit ni A. Sreekar Prasad.,Ang pelikula ay kinunan ng litrato ni Rajiv Menon at pinroseso ni A. Sreekar Prasad.,1,0,0
43149,Ang 2015-16 Rain or Shine Elasto Painters season ay ang ikasampung season ng franchise sa Philippine Basketball Association (PBA).,Ang season 2015 -- 16 rain or gloss Elasto painter ay ang ikasampung season ng franchise sa Philippine Basketball Association (PBA).,1,0,0
23757,"Ang mga Tavern ay binisita ni Gidea Thompson (Sian Martin), isang kaibigan ng pamilya ni Jules sa Trinidad.","Dinalaw ang mga Tavernier ni Sian Martin (Gidea Thompson), isang kaibigan ni Jules at ng pamilya nito sa Trinidad.",1,0,1
481,"Ang natapos na bakod ay pangunahing matatagpuan sa Texas, at ang konstruksyon ay sa New Mexico, Arizona at California.","Ang natapos na bakod ay pangunahing nasa Texas, habang ang konstruksyon ay isinasagawa sa New Mexico, Arizona, at California.",1,0,0
39525,"Ang sona ay nagsisilbi sa silangan at gitnang Madhya Pradesh, sa katimugang Uttar Pradesh at sa hilagang-silangan ng Rajasthan State.","Ang sona ay nagsisilbi sa silangang at gitnang Madhya Pradesh, katimugang Uttar Pradesh, at hilagang-silangang estado ng Rajasthan.",1,0,0
17760,"Ito ang mga tradisyonal na kasuotan ng mga Zomi. Ang kasuotan ng mga lalaki ay ""Puan Laisan"" at ang kasuotan ng mga babae ay ""Puandum"".","Ito ang tradisyonal na kasuotan ng Zomi, ang mga damit ng lalaki ay ""Puan Laisan"" at ang mga damit ng babae ay ""Puandum"".",1,0,0
2005,Ang kanyang ilang mga kanta sa Marathi mula sa iba pang mga Pelikula ay:,Ang kanyang mga kantang Marathi ay mula sa ibang mga pelikula:,1,0,0
23666,"Kasabay ng paghina ng dolyar ng Canada, tumaas ang benta at pag-export ng mga produktong pagmamanupaktura noong Nobyembre at Disyembre 2015, at tumaas din ang bilang ng mga nagtatrabaho.","Noong Nobyembre at Disyembre 2015, kasabay ng paghina ng dolyar ng Canada, tumaas ang benta at pag-export ng mga produkto at serbisyo sa pagmamanupaktura at tumaas din ang bilang ng mga manggagawa.",1,1,1
37857,"Sinimulan ni Burki ang kanyang karera sa Switzerland sa loob ng isang taon, hanggang sa bumalik siya sa Paris para magtrabaho sa rotogravure mula 1971 hanggang 1979.",Sinimulan niya ang kanyang karera sa Switzerland sa loob ng isang taon hanggang sa bumalik siya sa Paris mula 1971 hanggang 1979 upang magtrabaho sa gravure.,1,1,1
2031,Mula noong 1984 si Patricia Dale ay ikinasal kay Patricia Meyer at magkasama silang may dalawang anak na lalaki: Ryan (ipinanganak 1988) at Blake (ipinanganak 1992).,Si Dale ay kasal kay Patricia Meyer simula pa noong 1984 at magkasama silang may dalawang anak na lalaki: sina Ryan (ipinanganak noong 1988) at Blake (ipinanganak noong 1992).,1,0,0
24552,Nakuha ng CTVglobemedia ang istasyon ng CFXJ-FM sa Toronto noong 2010 mula sa Milestone Radio .,Nakuha ng CTVglobemedia ang istasyon ng Toronto na CFXJ-FM mula sa Milestone Radio noong 2010.,1,1,1
42574,"Ito ay matatagpuan sa buong gitnang rehiyon ng palaearctic, mula sa Turkey, Cyprus at Lebanon, sa pamamagitan ng Pakistan, Iran, Afghanistan at hilagang Iraq hanggang sa Kashmir.","Ito ay matatagpuan sa buong gitnang Rehiyon ng Palaearctic, mula Turkey, Cyprus at Lebanon, silangan hanggang Pakistan, Iran, Afghanistan at hilagang Iraq hanggang Kashmir.",1,0,0
31097,"Siya ay nanganlong sa London kasama ang kanyang pamilya noong 1938, at ang pamilya ay nanirahan sa East Finchley sa hilaga ng Inglatera, kung saan siya nag-aral sa Tollington Hill School.","Kasama ang kanyang pamilya, siya ay nanganlong sa London noong 1938, at ang pamilya ay nanirahan sa East Finchley, sa hilagang Inglatera kung saan siya nag-aral sa Tollington Hill School.",1,0,0
29598,"Hinahain si Kirk Deighton sa Ruta 780 , Harrogate patungong Wetherby , at Ruta X70 , Kirk Deighton patungong Knaresborough sa pamamagitan ng Wetherby at Spofforth .","Ang Kirk Deighton ay pinaglilingkuran ng rutang 780, mula Harrogate patungong Wetherby, at rutang X70, mula Kirk Deighton patungong Knaresborough sa pamamagitan ng Wetherby at Spofforth.",1,1,0
27829,Ang Somaiya Vidyavihar ay isang kampus pang-edukasyon sa suburb ng Vidyavihar sa Mumbai.,Ang Somaiya Vidyavihar ay isang kampus pang-edukasyon na matatagpuan sa suburb ng Vidyavihar sa Mumbai.,1,0,0
36848,Dalawang bago at malalaking lugar pampalakasan ang binuksan noong 2001: ang Ralph Engelstad Arena at ang Alerus Center.,"Noong 2001, dalawang bagong malalaking pasilidad pampalakasan ang binuksan: ang Ralph Engelstad Arena at ang Alerus Center.",1,1,1
32824,Ito ay isinulat ni Jeff Melman at idinirek nina Tom Spezialy at Marc Cherry.,Ito ay isinulat ni Jeff Melman at pinatakbo nina Tom Spezialy at Marc Cherry.,1,0,0
37801,"Natuklasan ng isang karagdagang pag-aaral na ang direktang promoter ay isa sa libu-libong proximal target ng transcription factor, Myc, in vivo.",Natuklasan ng isang karagdagang pag-aaral na ang direktang promoter ay isa sa libu-libong proximal target ng transcription factor na Myc in vivo.,1,0,0
4003,"Maraming organisasyon ng mga estudyante sa kampus, kabilang ang mga grupong pangrelihiyon, mga grupong akademiko, at mga grupong may aktibidad ng mga estudyante.","Maraming organisasyon ng mga estudyante na matatagpuan sa kampus, kabilang ang mga grupong pangrelihiyon, mga grupong akademiko, at mga grupong may aktibidad para sa mga estudyante.",1,1,1
31299,"Pagkalipas ng anim na oras, bumalik si Corey ngunit wala na si Pierson, at inaangkin ni Corey na hindi niya alam kung nasaan si Pierson.","Pagkalipas ng anim na oras, bumalik si Corey, ngunit wala na si Pierson, at sinabi ni Corey na hindi niya alam kung nasaan si Pierson.",1,1,1
22046,Ang mga huling kulturang neolitiko ay may kaugnayan sa paglaganap ng mga taong nagsasalita ng Mon Khmer mula sa Malaysia at sa lambak ng Ayeyarwady at mga huling pag-unlad ng neolitiko sa Timog Tsina.,Ang mga kulturang Huling Neolitiko ay may kaugnayan sa paglaganap ng mga taong nagsasalita ng Mon Khmer mula sa Malaysia at sa Ayeyarwady Valley at sa mga huling pag-unlad ng Neolitiko sa timog Tsina.,1,0,0
25750,"Ang Bonchurch ay matatagpuan sa katimugang baybayin ng Isle of Wight, Inglatera, sa silangan lamang ng nayon ng Monks Bay.","ay matatagpuan sa katimugang baybayin ng Isle of Wight, Inglatera, sa silangan ng nayon ng Monks Bay.",1,0,3
5124,Pinagbibidahan ito ni James Craig at isinulat nina Devon at Richard Devon .,Ito ay ginagampanan nina James Craig at Richard Devon at isinulat ito.,1,1,0
6883,"Pinagbibidahan nina Holly Hunter at Tim Robbins, ang serye ay nakatuon sa isang kontemporaryong pamilyang may iba't ibang lahi sa lugar ng Portland.","Ang serye, na puno ng mga kwento nina Holly Hunter at Tim Robbins, ay nakatuon sa isang kontemporaryong pamilyang may iba't ibang lahi sa lugar ng Portland.",1,0,0
9122,Ang mga koponan ay kailangang gumamit mula sa malayo ng isang tradisyonal na tribal club upang talunin ang mga kaldero.,Kinailangang gumamit ang mga koponan ng tradisyonal na tribal club mula sa malayo upang makaiskor ng mga pusta.,1,0,1
