gold_label,sentence1,sentence2
neutral,"Oo kasi, uh, talagang dumaan na ito sa matinding pagsubok, pero uh",Sana hindi na lang ito nangyari dahil nakakawalang-gana talaga.
neutral,"Medyo kakaiba iyon dahil ginugol ko, uh, mga 16 na taon ng aking karera sa Special Activities.",Ang paborito kong trabaho ay sa Mga Espesyal na Aktibidad.
neutral,"Oo, marami silang mga bagay na sabay-sabay na nasira.",Ang ilan sa mga sirang bagay ay mahalaga.
neutral,"Isang kilalang tagapagtaguyod ng Meksikong Kastilang folklore sa Timog-Kanluran at California si Charles F. Lummis (1859–1928), isang sariling-aral na potograpo, etnolohista, musikologo, mamamahayag, at tagapagtatag ng Southwest Museum sa Los Angeles.",Nakakatawa si Charles F. Lummis.
neutral,"Bilang resulta, itinaas ang kanyang sahod at ang iba niyang mga allowance at stipend ay tumaas nang malaki, mula sa humigit-kumulang $465 hanggang $3,925 kada buwan, at nanatili sa antas na iyon hanggang Disyembre 2000.",Kailangan niya ng mas maraming pera para makapaglakbay.
neutral,"Sa paligid niya sa baywang, kung saan buong gabi ay napakatahimik, ay may mabagsik na pag-aalbug ng humigit-kumulang animnapu't sampung lalaki.",Ngayong gabi ay mas abala kaysa karaniwan dahil sa isang kaganapang inihost.
neutral,"Tulad ng sa lahat ng mga regalo sa Instituto, 100% ng iyong kontribusyon ay direktang gagamitin para sa pananaliksik.",Ang bawat sentimo ay napupunta sa pananaliksik sa kanser.
neutral,"Ang magaspang na kabundukan ng Serra de Tramuntana ay bumabagsak nang napakatarik patungo sa dagat dito, kaya't kakaunti lamang ang mga daanan at iisa lamang ang pantalan at daungan na may anumang sukat sa kahabaan ng baybayin.",Palaging may landslide sa mga bundok dahil hindi madaling magtayo ng mga pantalan doon.
neutral,"Ang The First Wives Club, isang komedya ng paghihiganti tungkol sa tatlong iniwan na asawa, ay kumita nang higit pa sa unang weekend nito kaysa sa anumang ibang pelikulang pambabae sa kasaysayan.","Ang mga bituin at ang pag-arte, higit pa kaysa sa takbo ng kuwento ng First Wives Club, ang tumulong na makapagtala ng rekord na benta sa takilya."
neutral,"Sa anumang kaso, umabot ito, mayroon kaming mga, uh, ah, hindi ko na maalala ang mga numero.",Hindi ko na maalala kung ilang manggagawa ang meron tayo.
neutral,Ang pinakamagandang masasabi tungkol kina Podhoretz at Decter ay na hindi na marahil magtatagal pa ang kanilang mga orasan ng katawan.,Si Decter ay 85 taong gulang.
neutral,"Kaya't posible na makuha ang mga kinakailangang piraso ng impormasyon sa maingay na kapaligiran, kung isasaalang-alang ang mga ekspresyon ng mukha, mga kilos, at iba pang mga palatandaan sa konteksto.",Maiintindihan mo kung ano ang ipinapahayag sa pamamagitan ng mga ekspresyon ng mukha at kilos ng kamay kahit hindi mo marinig ang sinasabi.
neutral,"Si Mayor Giuliani, kasama ang mga komisyoner ng Pulisya at Bumbero at ang direktor ng OEM, ay mabilis na pumunta sa hilaga at nagtatag ng isang post ng pamumuno para sa mga operasyong pang-emergency sa Akademya ng Pulisya.",Mahigit dalawang dosenang tao ang kalaunan ay nakibahagi sa pagpapatakbo ng himpilan ng utos.
neutral,"Doon, hindi gaanong maginhawa ang kapaligiran at maaaring matakot ka sa problema sa wika, ngunit kahit papaano makakasilip ka ng lipunang konsumer ng Tsina.",Magandang ideya na magkaroon ng tagasalin kasama mo.
neutral,"Ang kilusang Islamista, na isinilang bandang 1940, ay produkto ng makabagong mundo, na naiimpluwensyahan ng mga konseptong Marxista-Leninista tungkol sa rebolusyonaryong organisasyon.",Ang kilusang Islamista ay orihinal na itinatag bilang isang organisasyon para sa mobilisasyong panlipunan.
neutral,"Ayon kay Binalshibh, kung nalaman nina Bin Ladin at KSM bago ang 9/11 na naaresto si Moussaoui, maaaring kanselahin nila ang operasyon.",Hindi alam ni Bin Ladin na hinuli ng FBI si Moussaoui.
neutral,Ang pinakamahalaga ay ang katotohanang ang pagdalo sa isang pagtatanghal sa IRT ay hindi lamang isang field trip.,"Upang lubos na ma-enjoy ang isang pagtatanghal sa IRT, kailangan mong magbigay ng buong pansin at pag-aralan nang mabuti ang pagtatanghal at ang kasaysayan nito bago pa man."
neutral,Maaaring tantiyahin din ang mga C-R na pag-andar nang may o walang tahasang mga threshold.,Maaaring tantiyahin ang mga C-R na pag-andar sa ilang magkaibang paraan at pagkatapos ay ilathala upang ang mambabasa ang magpasya.
neutral,"Sobra itong lalaki, huhulihin tayo mula sa ating mga kama at hindi na tayo ibabalik sa bahay (Nobyembre 1974).",Nakakatakot nang lumaki talaga ito.
neutral,"Ah, ngayon, hindi nga ba talaga kayo makakaya? sigaw niya.",Tinanong niya dahil medyo nagulat siya sa buong sitwasyon.
neutral,Madalas sinasabi ng mga eksperto na ang kasaysayan ay isinusulat ng mga nagwagi.,Sinasabi ng mga eksperto na ang mga taong nanalo sa loterya ay nagsasalaysay ng kasaysayan.
neutral,"Sinusuri at inaanalisa ni John Burke (Alabama) ang iba pang mga kontemporaryong salaysay at natuklasan na ang salaysay ni Boswell ay hindi lamang pinakatumpak kundi ginagamit pa niya ito upang ipakita ang pagkatao ni Johnson, samantalang ang iba ay nagpapalaganap lamang ng tsismis sa panitikan.",Ayaw ni John Burke kay Boswell.
neutral,"Ulat ng intelihensiya, interogasyon ng detainee, Disyembre 2, 2001.","Ang ulat ng intelihensiya ay naisulat noong Disyembre 3, 2001."
neutral,"Masigasig na ipinamimigay ang mga espesyal na kupon sa mga dalampasigan sa araw, sa pag-asang makahikayat ng pinakamaraming tao sa gabing iyon.","Ibinibigay ang mga kupon sa tabing-dagat, umaasang magkakaroon ng mga pangmatagalang kostumer."
neutral,"Sa loob ng 82 taon, pinasaya ng Indianapolis Civic Theatre ang mga manonood nito sa pamamagitan ng mga propesyonal na dulang-pangteatro at musikal, habang nagbibigay ng entablado para sa natatanging talento ng ating lungsod, ngunit hindi doon nagtatapos ang lahat.",Ang Indy Civic Theater ay nakapagtanghal na ng 120 na palabas sa loob ng 80 taon.
neutral,"Halimbawa, sa GGD, isinagawa ang isang pag-aaral ng disenyo bilang isang hiwalay na gawain, na nagwakas",Hindi naging matagumpay ang pag-aaral sa disenyo.
neutral,Ganoon din ang totoo sa pakiramdam ng pagkabansa.,Ang pakiramdam ng pagkakabansa ay nakasalalay sa kung gaano kahusay pinamamahalaan ang ekonomiya.
neutral,"Kaya naman, may isang romantikong tula na nakasulat sa Latin kung saan ang unang linya ay naglalaman ng mga salitang lalaki at babae sa magkabilang dulo ng linya.",Ang kuwentong pag-ibig na inilalarawan sa tulang Latin ay nagpapaliwanag ng dahilan ng distansya sa pagitan ng lalaki at ng babae sa kalagitnaan ng unang pangungusap.
neutral,"Ang suportang pisyolohikal ay naiiba sa suportang pang-buhay dahil siya ang humahawak sa mga silid-pataas na nagpapataas sa mga piloto hanggang 80,000 talampakan, at ibinababa sila muli.",Kinakailangang sumailalim sa pagsusuri sa mga silid-pagsubok sa mataas na altitud ang mga piloto nang humigit-kumulang dalawampung beses bawat buwan.
neutral,"Dapat ding tukuyin ng plano ang paraan ng pagkuha, ang mga pangunahing punto ng go/no-go, ang pormal na plano sa pagsasanay, at ang contingency plan upang mabawasan ang mga pagkalugi.",Dapat ding isama sa plano ang isang badyet.
neutral,"At narinig kong umalis siya, kaya tinatapos ko pa rin ang dapat kong gawin.",Ginagawa ko ang mahahalagang trabahong inatas sa akin ngayong umaga.
neutral,"Oo, sa amin ito dito sa itaas; talagang mahina ang aming koneksyon sa kanayunan.",Minsan ay ayos lang ang mga koneksyon dito.
neutral,"Nang siya ay pumasok sa kanyang animnapung taon, noong 1895, nagbigay si Skeat ng impresyon na nagsisimula na niyang hindi gaanong seryosohin ang mga bagay na ito.",Nagsimulang magmalasakit si Skeat sa iba't ibang bagay habang siya ay tumatanda.
neutral,Ang mga bugtong ay masaya at nakapag-edukasyon din.,Napakahirap malutas ang mga bugtong.
neutral,Sinimulan ko ang buhay na may pamana ng isang daang peras at isang libong mansanas.,Ang prutas ay ibinigay sa akin ng aking ama.
neutral,"Habang isinasagawa ito, binibigkas ang mga panalangin.",Binibigkas ang mga panalangin habang nililinis ang mga damit.
neutral,"Ang wikang Ingles ay sobra nang nabigatan ng mga kakaibang salita na hindi sana dapat inako, at kahit ngayon ay dapat nang ilabas.",Nakilala ng mga eksperto ang limampung magkakaibang salita na hindi dapat maging bahagi ng wika.
neutral,"Dinala nila si Joe, at sabi ni Lola ko, sinabi niyang napakasad ng panahong iyon sa bahay dahil, alam mo, nami-miss ng lahat si Joe at hindi nila alam kung ano ang gagawin.",Pumanaw si Joe at talagang nakalulungkot.
neutral,"At kapag naipasok mo na lahat, maaari ka nang magpatuloy mula doon.",Maaari kang magpatuloy kapag naipasok mo na ang impormasyon sa database.
neutral,Ang mga epekto sa kapakanan sa mga nagpapadala na lumilipat ay kinakalkula sa parehong paraan tulad ng sa itaas na seksyon tungkol sa mga kita.,Mabilis nilang kinakalkula ang mga epekto sa kapakanan gamit ang kalkuladora.
neutral,"Dalawang linggo na siyang nasa Port Royal, at ang kanyang barko ay halos naging isang yunit na ngayon sa Jamaica squadron.",Nagtatama siya ng kanyang barko.
neutral,Nanatili siyang malapit sa kanya sa buong panahon niya sa Estados Unidos.,May relasyon siya sa isang babaeng Amerikana.
neutral,Mahirap Maghanap ng Patunay na Pinamunuan ni Bin Laden ang mga Atake.,Hindi kasangkot si Bin Laden sa pagdirekta ng mga pag-atake.
neutral,"Sa huling bahagi ng kabanatang ito, tatalakayin ko pa ang isa pang palaisipan tungkol sa tinatawag kong likas na laro.",Wala akong solusyon sa palaisipan ng likas na laro.
neutral,Isang sukatan ng pagdikit sa karaniwan: May ba't magdala ng pitaka ang pangulo?,Maaaring magdala ng pitaka ang pangulo.
neutral,"Tanungin ang iyong ahensiya ng paglalakbay o ang tanggapan ng turista ng Berlin para sa mga detalye ng mga nalalapit na programa, at magpareserba nang maaga kung maaari.",Pinakamainam na magpareserba anim na buwan bago ang iyong pagbisita.
neutral,"Siyempre, tinanong nila ako doon kung bakit ako pumunta.",Tinanong nila kung bakit ako pumunta sa tindahan.
neutral,Kaya inabot ako ng mga isa hanggang dalawang oras para lang makita ang kailangan ko.,Matagal itong inabot sa akin dahil sobrang kapal at nakalilito ang libro.
neutral,Ang isang birheng gubat ay isang gubat na hindi pa nararating ng kamay ng tao.,"Dahil sa dami ng populasyon, kakaunti na lamang ang natitirang dalisay na kagubatan sa Estados Unidos."
neutral,Larawan ni Bill Clinton sa Slate Table of Contents ni Kevin Lamarque/Reuters.,"Marami nang larawan ni Bill Clinton ang kinunan ni Kevin Lamarque, kabilang ang isa sa Talaan ng Lamang ng Slate."
neutral,Ikinagagalak kong sagutin ang anumang tanong na maaaring mayroon ang mga Miyembro ng Subkomite.,Gusto kong pag-usapan ang aking trabaho kaya ikalulugod kong sagutin ang mga tanong.
neutral,"Matatag ka, Matandang Lobo! Matatag! Pinaalalahanan siya ni Kapitan Blood.","Dahil sa kanyang karanasan, tinulungan ni Kapitan Blood na pataasin ang moral ng kanyang mga tripulante."
neutral,May masamang stigma ang mga TV dinner.,Palaging ipinapakita sa mga TV dinner ang isang pamilya na kumakain ng ulam na karne.
neutral,"Bagaman maaaring pagbutihin ang mga estratehiya sa pagpopondo, may pondo para sa gawaing ito.",Hindi sapat ang pondo para sa trabaho.
neutral,Mayroon akong higit pa sa isang trabaho.,May trabaho ako na kumukuha ng lahat ng oras ko.
neutral,"Sa gitna ng plasa ay ang granite na Weltkugelbrunnen ni Joachim Schmettau (o Fountain of the World), na masiglang pinangalanan ng mga lokal na 'aquatic dumpling'.",Ang Weltkugelbrunnen ay gawa sa granit na napakaitim at makintab.
neutral,Ang kasalukuyang mga kinakailangan sa seguridad ay nagpapalago ng labis na pag-uuri at sobra-sobrang pagkakabukod-bukod ng impormasyon sa pagitan ng mga ahensya.,Mas mahigpit na ngayon ang mga kinakailangan sa seguridad kaysa dati.
neutral,"Nakipaglaban ang The New Yorker sa pamamagitan ng mga espesyal na isyu—mga napakalalaking tomo tungkol sa lahi, Hollywood, o ang hinaharap.","Nakipaglaban ang The New Yorker nang may higit sa 20 espesyal na isyu, kabilang ang mga buong magasin tungkol sa rasismo, paglalakbay sa kalawakan, at edukasyon."
neutral,Ang mga kahanga-hangang koneksyon na nabubuo araw-araw ay nagiging posible sa pamamagitan ng suporta ng mga operasyon ng Samahan mula sa mga organisasyong tulad ng sa inyo!,"Kung wala ang inyong organisasyon, hindi kailanman mabubuo ang mga kahanga-hangang koneksyong ito."
neutral,"Ang Miramar, isang kaaya-ayang pamayanan na may magagandang tahanan para sa pamilya, ay nakikinabang sa kanyang lokasyon sa tabi ng Isla Grande commuter airport.",Ang Miramar ay kung saan nakatira ang mga mayayaman.
neutral,Ang paggamit ng teknolohiya ay maaaring magpababa ng oras na kailangan ng mga tagapagbigay at kawani upang personal na magsagawa ng mga serbisyong pagsusuri at interbensyon at itutok ang mga pasyenteng makikinabang sa mga maikling mensahe ng interbensyon.,Maaaring bawasan ng teknolohiya ang oras na kailangan ng mga tagapagbigay at kawani para magsuri sa mga tao nang hanggang 80%.
neutral,"Magiging napakagandang kung maaari kang maglaan ng oras upang bisitahin ang iyong paaralan, makita nang personal ang pag-unlad na nagawa namin sa paglipas ng mga taon, at makibahagi sa pagmamalaki ng aming pamana!",Dapat mong bisitahin ang paaralan at panoorin ang musikal na produksyon na aming pinaghahandaan.
neutral,"Ang timog-kanlurang rehiyon na may pinakamaraming sinaliksik at naidokumentong kaugalian sa kasal ay ang New Mexico, dahil ang mga inapo ng mga unang Hispano ay naging maagap sa paglalarawan at pagsulat ng kanilang mga tradisyon.",Ang mga inapo ng mga unang Hispano ay nagsulat gamit ang mga balahibo ng itim na gansa.
neutral,"At lagi namang ikinukwento ni Lola kung paano nagpasya ang kapatid niya at ang asawa ng kapatid niya na lumipat sa lungsod, sa Augusta, at magpanggap na puti.","Hindi puti ang kapatid ni Lola, pero gusto niyang maging puti para makapag-aral."
neutral,Hindi ko pakialam kung wala kang alam tungkol dito.,Alam kong hindi ka nahuhumaling dito.
neutral,"Kahanga-hanga na patuloy pa rin ang anomalya na ito, kahit sa maraming makabagong sanggunian.","Maaaring maitama ang anomalya na ito, ngunit malaki ang magiging gastos."
neutral,Ang inyong mga kontribusyon sa Taunang Pondo sa antas ng Maennerchor Society ay nagbigay ng makabuluhang tulong sa paaralan.,Nakakuha ang Maennerchor Society ng $1 milyon na donasyon noong nakaraang taon.
neutral,Isang mamamatay-tao—ako? wika niya sa wakas.,Hindi niya pinatay ang sinuman.
neutral,"Hinihiling ni McCoy ang suporta ng The __ Company Foundation na nagkakahalaga ng $10,000.","Kailangan ni McCoy ng mas maraming pera, ngunit sa ngayon ay humihiling ng $10,000."
neutral,at uh medyo gusto ko yung black eyed pea pero sa tingin ko hindi ito isang chain,Baka subukan ko mamaya ang Black Eyed Pea.
neutral,"Ang makatwirang mga inaasahan ay lumago, sa bahagi, mula sa pagsisikap na maunawaan ang aktwal na kalakalan sa mga palitan ng stock.",Lalo pang dumarami ang mga taong nagsisimulang makipagkalakalan sa mga online na palitan ng stock.
neutral,Hindi nila gustong manatiling bihag.,Sila ay inaresto kaugnay ng isang kamakailang pagnanakaw.
neutral,"Ngayon, isa sa pinakamabisang pumipigil sa isang magnanakaw ay ang maingay na kapitbahay, kahit na may maingay na aso ang kapitbahay, dahil alam nilang a-amingaw ang aso.",Hindi gusto ng mga magnanakaw ang mga aso dahil maingay sila at madalas silang nakakagat.
neutral,Makikita rito ang ilang maliliit na templo.,May ilang maliliit na templo na isang tao lamang ang kasya.
neutral,Maraming wika ang may ganitong kalabuan.,Pinapahirap nito ang pagkatuto ng wika.
neutral,"Sa San Antonio, ang pagtatanghal ng Los Pastores sa Simbahan ni Mahal na Birhen ng Guadalupe ay nagpapatuloy mula pa noong 1913.",May ilang pagtatanghal bawat taon.
neutral,"Ang magaspang na gulod ng Montserrat ay tumataas mula sa medyo walang katangiang kapatagan ng Llobregat, 62 kilometro (38 milya) sa hilagang-kanluran ng Barcelona, sa mismong puso ng Catalonia.",Ang mga bundok ng Mountesserat ang pinakamataas sa lugar.
neutral,"Tiyak na sasali ka sa isang pangkat ng mga kilalang ehekutibo ng pundasyon, mga pinuno ng negosyo, mga iskolar, mga propesyonal sa pag-unlad, at mga boluntaryo sa sektor ng nonprofit ...",Ang grupo ay puno ng mga iskolar ng Ivy League at mga pilantropo.
neutral,Ang operating permit ng Title V ay dapat ding gawing magagamit para sa puna ng publiko.,Hindi lahat ay gustong payagan ang mga pampublikong komento.
neutral,"Eksakto, ito ay isang aktibong estado; hindi ito bagay na maaari kang maging pasibo at asahang makakabuti talaga. Sa tingin ko hindi.",Sa tingin ko kailangan mong maglaan ng sampung oras bawat araw para maging magaling dito.
neutral,"At siya ay isang babaero, at oo nga pala, parang wala siya sa sarili. At, ah, kaya, alam mo, hindi ko siya gusto, pero ganoon pa man, iyon ang mga kuwento ko.",Kinamuhian ko siya dahil napakayabang niya.
neutral,"Noong nakaraang taon, bukas-palad kang nag-donate ng $-.","Nag-donate ka ng $10,000 noong nakaraang taon."
neutral,pero uh gusto mo pala ng iba't ibang pagkain huh,Dapat ay nag-eenjoy ka sa pagsubok ng iba't ibang pagkaing etniko.
neutral,Kailangan namin ng mga mapagkukunan upang magrekrut at magpaunlad ng mga natatanging guro.,Kailangan nating kumuha ng 100 bagong mabubuting guro.
neutral,Iba pang mga tagapayo ang naghayag din ng pag-aalalang ito.,Isang tagapayo lamang ang hindi nagpahayag ng pag-aalala tungkol sa planong ito.
neutral,"Gayunpaman, tahimik na inaamin ng mga senador at mambabatas ng estado ng New York na pumayag sila sa panukalang batas dahil humanga sila sa tindi ng suporta rito.",Ang estado ng New York ay may mas maraming senador kaysa sa ibang mga estado.
neutral,Marami ring mga lugar para sa mas mapangahas o avant-garde na mga pagtatanghal.,May mga lugar na may strip tease na palabas.
neutral,"Pagkatapos mong libutin ang mga koleksyong ito, akyatin ang burol patungo sa Bahay ng Komisyoner, kung saan makikita mo ang magagandang tanawin ng baybaying-dagat sa paligid at ng natitirang bahagi ng kompleks ng pantalan.",Makikita mo ang mga bangka sa tuktok ng burol.
neutral,".., ngunit sa ikalawang pagkakataon ng pagkikita ay nahuli siya sa gitna ng dalawang kaibigan.",Hindi niya alam kung aling panig ang pipiliin niya sa pagitan ng kanyang dalawang kaibigan.
neutral,"Sige, dadaan sila sa slot.",Madali silang dumaan.
neutral,P. S. Mahalaga ang iyong regalo sa aming pagdiriwang ng 85 taon bilang pinakamatandang tuloy-tuloy na nagpapatakbong teatro ng komunidad sa bansa.,"May isa pang teatro na kamakailan lang ay nagdiwang ng ika-84 na anibersaryo nito, ngunit nasunog ito."
neutral,Tinuring niya ang sarili na parang aso sa pabula na pinakawalan ang tunay na kayamanan upang habulin ang mapanlinlang na anino.,Ang pabula ay kasing-tanda ng panahon.
